Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2019-02-23,sagan-tosu,17,1-1,1,1,0,1,ベアスタ,19633,晴,52,51,0.129,19,0.053,0.614,20.58,15.95,89.41,13.52,['ハーフナー'],吉田　孝行
2,2019-03-03,shimizu-s-pulse,11,2-4,2,4,2,0,ノエスタ,24058,曇,54,51,0.145,19,0.105,0.596,22.85,18.09,96.54,12.98,"['田中', 'チョンウヨン']",吉田　孝行
3,2019-03-01,vegalta-sendai,2,1-1,1,1,0,1,ユアスタ,14270,晴,45,50,0.056,7,0.143,0.366,10.02,7.61,90.82,25.11,['三原'],吉田　孝行
4,2019-03-18,cerezo-osaka,14,2-0,2,0,1,0,ノエスタ,20108,晴,50,42,0.154,18,0.111,0.541,20.73,14.47,97.59,19.41,"['藤田', 'ルーカスポドルスキ']",吉田　孝行
5,2019-03-03,kashiwa-reysol,5,1-2,1,2,2,1,三協Ｆ柏,9642,晴,35,53,0.083,11,0.091,0.565,16.22,14.23,109.24,13.48,['田中'],吉田　孝行
6,2019-04-08,gamba-osaka,13,1-0,1,0,1,1,吹田Ｓ,20606,晴,61,45,0.135,17,0.059,0.549,23.57,15.61,109.37,19.57,['大槻'],吉田　孝行
7,2019-04-11,urawa-red-diamonds,4,2-3,2,3,2,0,ノエスタ,9758,屋内,39,50,0.101,11,0.182,0.617,18.68,15.48,55.3,14.1,"['ウェリントン', '佐々木']",吉田　孝行
8,2019-04-15,yokohama-fa-marinos,8,2-1,2,1,1,1,日産ス,16313,曇のち晴,48,34,0.076,10,0.2,0.387,8.96,7.21,109.09,22.22,"['三田', '渡邉']",吉田　孝行
9,2019-04-21,nagoya-grampus-eight,12,3-0,3,0,1,0,ノエスタ,18681,晴,51,38,0.189,21,0.143,0.56,20.44,16.18,104.29,14.0,"['チョンウヨン', 'ルーカスポドルスキx2']",吉田　孝行
10,2019-04-25,kashima-antlers,3,1-1,1,1,0,1,カシマ,7672,晴のち曇,37,25,0.041,6,0.167,0.527,12.6,11.39,89.89,22.11,['三田'],吉田　孝行
11,2019-04-28,kawasaki-frontale,7,1-2,1,2,2,0,ノエスタ,19847,晴,35,44,0.098,10,0.1,0.527,15.7,13.91,86.21,11.37,['三田'],吉田　孝行
12,2019-05-02,fc-tokyo,6,0-0,0,0,0,0,ノエスタ,9015,屋内,49,41,0.091,10,0.0,0.609,18.34,14.52,62.02,14.99,[''],吉田　孝行
13,2019-05-06,sanfrecce-hiroshima,16,0-2,0,2,2,1,Ｅスタ,11100,雨,57,37,0.119,14,0.0,0.644,21.86,18.79,65.79,12.37,[''],吉田　孝行
14,2019-05-12,other,0,2-0,2,0,1,1,ヤマハ,14912,晴,46,34,0.083,10,0.2,0.55,13.84,9.94,76.75,21.11,"['渡邉', 'ウェリントン']",吉田　孝行
15,2019-05-02,consadole-sapporo,1,4-0,4,0,1,0,ノエスタ,18725,晴,63,44,0.24,29,0.138,0.586,25.9,17.43,105.04,13.39,"['ウェリントンx2', '渡邉x2']",吉田　孝行
16,2019-07-18,other,0,1-0,1,0,1,1,トラスタ,9366,晴,57,69,0.193,17,0.059,0.572,21.86,17.77,67.0,10.67,['ウェリントン'],吉田　孝行
17,2019-07-22,shonan-bellmare,10,0-3,0,3,2,0,ノエスタ,26146,晴,45,45,0.078,9,0.0,0.657,18.54,14.52,70.69,13.29,[''],吉田　孝行
18,2019-07-28,kashiwa-reysol,5,1-0,1,0,1,0,ノエスタ,22879,曇,45,52,0.143,16,0.063,0.582,17.27,14.93,100.6,17.35,['増山'],吉田　孝行
19,2019-08-01,cerezo-osaka,14,1-1,1,1,0,1,金鳥スタ,14241,晴,62,50,0.089,10,0.0,0.603,23.18,17.89,83.13,10.76,['OG'],吉田　孝行
20,2019-08-05,fc-tokyo,6,0-1,0,1,2,1,味スタ,44801,晴,32,44,0.093,10,0.0,0.563,15.59,13.37,82.12,17.34,[''],吉田　孝行
21,2019-08-11,other,0,2-1,2,1,1,0,ノエスタ,24731,晴,49,49,0.158,16,0.125,0.636,20.49,16.6,68.46,9.28,"['アンドレスイニエスタ', '古橋']",吉田　孝行
22,2019-08-15,sanfrecce-hiroshima,16,1-1,1,1,0,0,ノエスタ,25499,雨のち曇,28,38,0.107,9,0.111,0.57,17.89,15.4,63.26,15.63,['アンドレスイニエスタ'],吉田　孝行
23,2019-08-19,shonan-bellmare,10,2-0,2,0,1,1,ＢＭＷス,15351,晴,40,32,0.075,9,0.222,0.499,12.61,10.37,39.81,24.37,"['三田', '郷家']",吉田　孝行
24,2019-08-26,yokohama-fa-marinos,8,0-2,0,2,2,0,ノエスタ,25541,晴,61,57,0.151,19,0.0,0.605,21.37,17.6,115.34,12.72,[''],吉田　孝行
25,2019-09-01,consadole-sapporo,1,1-3,1,3,2,1,札幌ド,32475,屋内,50,45,0.084,8,0.125,0.525,17.1,14.98,64.76,13.94,['長沢'],吉田　孝行
26,2019-09-15,gamba-osaka,13,1-2,1,2,2,0,ノエスタ,25485,曇,50,46,0.125,15,0.067,0.588,18.43,13.9,92.15,11.1,['古橋'],吉田　孝行
27,2019-09-23,urawa-red-diamonds,4,0-4,0,4,2,1,埼玉,55689,晴,34,43,0.059,6,0.0,0.633,18.13,14.6,65.84,9.66,[''],林　健太郎
28,2019-09-29,kashima-antlers,3,0-5,0,5,2,0,ノエスタ,23774,屋内,42,45,0.065,7,0.0,0.583,17.0,14.56,68.27,9.3,[''],林　健太郎
29,2019-10-06,other,0,1-1,1,1,0,0,ノエスタ,22349,晴,56,39,0.162,18,0.056,0.687,24.81,18.89,55.83,13.78,['三原'],フアン　マヌエル　リージョ
30,2019-10-02,kawasaki-frontale,7,3-5,3,5,2,1,等々力,24441,雨のち曇,39,36,0.086,9,0.222,0.479,16.71,14.02,75.69,14.09,"['古橋', '三田', 'OG']",フアン　マヌエル　リージョ
31,2019-11-03,nagoya-grampus-eight,12,2-1,2,1,1,1,豊田ス,41044,曇のち晴,60,47,0.158,16,0.125,0.555,22.03,18.59,97.78,12.76,['ルーカスポドルスキx2'],フアン　マヌエル　リージョ
32,2019-11-01,sagan-tosu,17,0-0,0,0,0,0,ノエスタ,26603,晴,44,41,0.104,13,0.0,0.636,17.11,14.17,80.35,12.84,[''],フアン　マヌエル　リージョ
33,2019-11-24,shimizu-s-pulse,11,3-3,3,3,0,1,アイスタ,20109,晴,36,34,0.089,10,0.3,0.533,11.89,9.49,56.02,27.18,"['藤田', '古橋', '三田']",フアン　マヌエル　リージョ
34,2019-12-01,vegalta-sendai,2,3-2,3,2,1,0,ノエスタ,24517,晴,55,42,0.186,19,0.158,0.641,33.92,30.44,91.89,13.76,"['古橋', 'アンドレスイニエスタ', '郷家']",フアン　マヌエル　リージョ
