,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2019-02-24,(日),長崎,0-1,0,1,A,トラスタ,11924,晴,47,52,0.11,13,0.0,0.531,13.32,10.65,83.17,13.9,[''],タヴァレス
1,2,2019-03-03,(日),山形,0-2,0,2,H,ニッパツ,3787,雨,45,54,0.092,12,0.0,0.591,15.09,13.52,90.06,10.9,[''],タヴァレス
2,3,2019-03-01,(日),栃木,1-0,1,0,A,栃木グ,4829,曇,69,48,0.18,27,0.037,0.544,26.74,19.32,98.9,16.83,['戸島'],タヴァレス
3,4,2019-03-16,(土),新潟,1-2,1,2,H,ニッパツ,6222,曇のち晴,58,52,0.153,17,0.059,0.56,21.01,14.41,55.91,12.68,['松浦'],タヴァレス
4,5,2019-03-23,(土),岐阜,2-0,2,0,H,ニッパツ,3470,曇,54,51,0.075,11,0.182,0.484,15.22,12.95,123.87,14.82,"['イバ', '松浦']",タヴァレス
5,6,2019-03-03,(土),金沢,0-1,0,1,A,石川西部,2543,雨,52,47,0.075,11,0.0,0.439,12.9,10.11,88.18,21.32,[''],タヴァレス
6,7,2019-04-03,(水),愛媛,2-1,2,1,A,ニンスタ,3116,晴,44,60,0.049,5,0.4,0.338,10.8,10.16,81.7,13.83,"['瀬沼', '斉藤光']",タヴァレス
7,8,2019-04-07,(日),福岡,1-1,1,1,H,ニッパツ,11260,晴,58,52,0.144,19,0.053,0.453,14.46,10.38,76.91,16.9,['イバ'],タヴァレス
8,9,2019-04-14,(日),大宮,1-2,1,2,A,ＮＡＣＫ,9865,曇,41,60,0.062,7,0.143,0.566,16.43,13.69,49.59,8.28,['戸島'],タヴァレス
9,10,2019-04-21,(日),千葉,3-1,3,1,H,ニッパツ,6143,晴,58,41,0.116,15,0.2,0.517,16.74,12.86,75.01,17.58,"['イバ', '田代', '斉藤光']",タヴァレス
10,11,2019-04-28,(日),柏,0-0,0,0,A,三協Ｆ柏,13056,晴一時曇,41,42,0.092,12,0.0,0.43,11.71,10.34,82.63,22.65,[''],タヴァレス
11,12,2019-05-05,(日),京都,1-3,1,3,H,ニッパツ,6872,晴,56,35,0.087,11,0.091,0.513,13.9,11.11,89.3,10.7,['戸島'],タヴァレス
12,13,2019-05-12,(日),町田,1-1,1,1,H,ニッパツ,5581,曇のち晴,57,41,0.077,13,0.0,0.564,15.21,12.41,88.54,13.61,['OG'],タヴァレス
13,14,2019-05-18,(土),鹿児島,2-1,2,1,A,白波スタ,4437,雨,54,51,0.127,15,0.133,0.476,15.74,10.99,94.5,17.04,['イバx2'],下平　隆宏
14,15,2019-05-25,(土),甲府,1-2,1,2,A,中銀スタ,8045,晴,45,43,0.132,15,0.067,0.552,15.87,13.44,73.63,11.88,['イバ'],下平　隆宏
15,16,2019-06-02,(日),琉球,2-1,2,1,H,ニッパツ,4433,曇,55,50,0.174,20,0.1,0.524,19.41,14.6,85.53,12.92,['イバx2'],下平　隆宏
16,17,2019-06-08,(土),山口,1-1,1,1,A,みらスタ,6054,晴,47,42,0.162,22,0.045,0.485,12.39,9.86,63.73,14.63,['Ｌドミンゲス'],下平　隆宏
17,18,2019-06-15,(土),徳島,1-2,1,2,H,ニッパツ,2111,雨のち曇,50,49,0.108,12,0.083,0.556,17.73,16.19,56.42,10.59,['Ｌドミンゲス'],下平　隆宏
18,19,2019-06-22,(土),水戸,1-1,1,1,A,Ｋｓスタ,4974,曇時々雨,40,28,0.067,9,0.111,0.436,8.57,6.15,77.96,24.38,['草野'],下平　隆宏
