節,開催日,曜日,相手,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2020-02-23,(日),神戸,1-1,1,1,0,1,ノエスタ,25059,晴,31,39,0.037,4,0.25,0.346,7.42,5.99,76.12,22.0,['瀬古'],下平　隆宏
2,2020-07-04,(土),札幌,1-2,1,2,2,0,ニッパツ,0,曇,59,52,0.103,11,0.091,0.573,22.19,18.85,81.28,14.44,['一美'],下平　隆宏
3,2020-07-08,(水),柏,3-1,3,1,1,1,三協Ｆ柏,0,曇,41,43,0.034,4,0.5,0.511,9.67,9.54,84.85,15.57,"['斉藤光', '松浦', 'OG']",下平　隆宏
4,2020-07-12,(日),仙台,1-1,1,1,0,0,ニッパツ,2235,晴のち曇,51,38,0.049,6,0.167,0.593,15.69,13.24,71.35,16.29,['一美'],下平　隆宏
5,2020-07-18,(土),川崎Ｆ,1-5,1,5,2,0,ニッパツ,2733,曇,49,33,0.097,10,0.1,0.511,18.46,13.46,91.13,14.61,['田代'],下平　隆宏
6,2020-07-22,(水),横浜FM,0-4,0,4,2,1,日産ス,4819,晴,49,44,0.088,12,0.0,0.469,11.62,9.97,112.94,15.37,[''],下平　隆宏
7,2020-07-26,(日),浦和,0-2,0,2,2,0,ニッパツ,2580,晴,59,43,0.156,15,0.0,0.542,18.77,15.33,56.56,13.3,[''],下平　隆宏
8,2020-08-01,(土),広島,0-2,0,2,2,0,ニッパツ,2528,晴,47,41,0.069,7,0.0,0.511,13.14,11.79,66.98,13.5,[''],下平　隆宏
9,2020-08-08,(土),Ｇ大阪,1-2,1,2,2,1,パナスタ,4638,曇,42,38,0.168,16,0.063,0.481,15.07,13.6,64.1,18.22,['斉藤光'],下平　隆宏
10,2020-08-15,(土),湘南,4-2,4,2,1,0,ニッパツ,2938,晴,50,42,0.144,14,0.286,0.5,15.77,13.39,58.75,17.4,"['松浦', '一美', '松尾x2']",下平　隆宏
11,2020-08-19,(水),鹿島,1-0,1,0,1,0,ニッパツ,2773,晴,38,36,0.023,3,0.333,0.398,9.28,7.89,75.34,19.05,['皆川'],下平　隆宏
12,2020-08-22,(土),清水,3-2,3,2,1,1,アイスタ,4417,曇,48,39,0.11,12,0.25,0.558,19.21,15.49,81.69,14.64,"['斉藤光', '皆川', '松尾']",下平　隆宏
13,2020-08-03,(日),Ｃ大阪,1-2,1,2,2,0,ニッパツ,3373,晴,57,47,0.158,16,0.063,0.603,19.86,16.64,75.4,9.43,['松尾'],下平　隆宏
14,2020-09-05,(土),鳥栖,0-3,0,3,2,1,駅スタ,3265,曇,47,43,0.093,10,0.0,0.491,12.61,11.17,73.25,12.34,[''],下平　隆宏
15,2020-09-09,(水),FC東京,1-2,1,2,2,1,味スタ,4941,晴,52,48,0.113,13,0.077,0.501,13.43,10.64,79.56,15.07,['皆川'],下平　隆宏
16,2020-09-13,(日),名古屋,3-2,3,2,1,0,ニッパツ,3290,曇一時雨,45,29,0.121,12,0.25,0.401,11.98,10.0,60.98,26.12,"['齋藤功', '志知', '瀬沼']",下平　隆宏
17,2020-09-02,(日),大分,0-1,0,1,2,1,昭和電ド,6105,曇,40,53,0.097,11,0.0,0.523,13.71,12.13,102.33,13.04,[''],下平　隆宏
18,2020-09-23,(水),川崎Ｆ,2-3,2,3,2,1,等々力,4723,曇のち雨,27,31,0.091,9,0.222,0.488,12.84,12.4,83.57,17.12,"['小林', '佐藤']",下平　隆宏
19,2020-09-26,(土),浦和,2-0,2,0,1,1,埼玉,6401,曇,39,45,0.08,8,0.25,0.464,10.65,9.6,82.29,16.72,['松尾x2'],下平　隆宏
20,2020-10-03,(土),柏,0-3,0,3,2,0,ニッパツ,4571,曇,54,48,0.137,16,0.0,0.595,19.14,17.37,84.77,12.31,[''],下平　隆宏
21,2020-10-01,(土),鹿島,2-3,2,3,2,1,カシマ,5671,雨,45,43,0.076,9,0.222,0.417,10.03,7.99,95.73,18.89,"['瀬沼', '松尾']",下平　隆宏
22,2020-10-14,(水),仙台,0-0,0,0,0,1,ユアスタ,3714,晴,57,50,0.081,10,0.0,0.676,18.78,17.1,97.19,14.37,[''],下平　隆宏
23,2020-10-18,(日),FC東京,1-0,1,0,1,0,ニッパツ,5163,曇,38,38,0.065,8,0.125,0.575,11.99,9.52,70.29,18.4,['草野'],下平　隆宏
24,2020-10-24,(土),札幌,0-3,0,3,2,1,札幌ド,6256,屋内,43,45,0.048,6,0.0,0.493,12.55,11.42,92.29,18.98,[''],下平　隆宏
25,2020-10-31,(土),湘南,0-1,0,1,2,1,ＢＭＷス,5328,晴,44,48,0.149,17,0.0,0.622,16.48,11.95,78.69,13.83,[''],下平　隆宏
26,2020-11-03,(火),大分,2-3,2,3,2,0,ニッパツ,3704,晴,46,43,0.098,8,0.25,0.453,11.55,8.87,47.05,17.15,"['田代', '齋藤功']",下平　隆宏
28,2020-11-08,(日),神戸,2-1,2,1,1,0,ニッパツ,6965,曇,47,57,0.13,12,0.167,0.424,10.91,9.86,67.73,9.33,"['一美', '安永']",下平　隆宏
27,2020-11-14,(土),広島,1-1,1,1,0,1,Ｅスタ,6081,晴,47,39,0.058,7,0.143,0.572,13.67,11.31,85.56,14.24,['小林'],下平　隆宏
29,2020-11-25,(水),清水,1-3,1,3,2,0,ニッパツ,3165,曇,48,55,0.128,14,0.071,0.618,16.18,14.07,96.0,7.41,['瀬古'],下平　隆宏
30,2020-11-29,(日),Ｃ大阪,0-1,0,1,2,1,ヤンマー,7365,晴,56,48,0.12,12,0.0,0.514,17.82,15.28,77.81,15.59,[''],増田　功作
31,2020-12-05,(土),鳥栖,1-1,1,1,0,0,ニッパツ,3837,曇,53,45,0.127,15,0.067,0.504,17.78,12.9,83.41,14.74,['松浦'],下平　隆宏
32,2020-12-12,(土),名古屋,0-0,0,0,0,1,パロ瑞穂,10009,曇,42,37,0.1,10,0.0,0.528,14.04,11.63,62.11,13.96,[''],下平　隆宏
33,2020-12-16,(水),Ｇ大阪,0-2,0,2,2,0,ニッパツ,3898,晴,42,49,0.15,16,0.0,0.651,19.91,16.02,75.56,9.93,[''],下平　隆宏
34,2020-12-19,(土),横浜FM,3-1,3,1,1,0,ニッパツ,6766,曇のち晴,45,31,0.113,13,0.231,0.395,7.52,5.87,77.14,19.17,"['志知', '田代', '瀬沼']",下平　隆宏
