Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2019-02-23,gamba-osaka,13,1-2,1,2,2,0,日産ス,34521,晴,61,50,0.129,20,0.05,0.656,28.03,22.33,125.06,8.93,['Ｍジュニオール'],アンジェ　ポステコグルー
2,2019-07-04,urawa-red-diamonds,4,0-0,0,0,0,1,埼玉,0,曇,72,62,0.13,17,0.0,0.682,32.8,26.1,80.17,9.3,[''],アンジェ　ポステコグルー
3,2019-07-08,shonan-bellmare,10,3-2,3,2,1,0,ニッパツ,0,曇,59,51,0.074,10,0.3,0.661,20.86,17.99,75.59,10.16,"['天野x2', 'オナイウ']",アンジェ　ポステコグルー
4,2019-07-12,fc-tokyo,6,1-3,1,3,2,0,日産ス,4769,曇,66,59,0.064,9,0.111,0.651,27.53,24.35,90.1,7.34,['遠藤'],アンジェ　ポステコグルー
5,2019-07-18,kashima-antlers,3,2-4,2,4,2,1,カシマ,3090,雨,52,48,0.103,15,0.133,0.648,23.34,20.23,87.95,13.46,['Ｍジュニオールx2'],アンジェ　ポステコグルー
6,2019-07-22,yokohama-fc,9,4-0,4,0,1,0,日産ス,4819,晴,56,51,0.151,19,0.158,0.531,19.75,17.2,97.21,18.29,"['Ｍジュニオール', '遠藤', 'Ｅジュニオ', 'OG']",アンジェ　ポステコグルー
7,2019-07-26,consadole-sapporo,1,1-3,1,3,2,1,札幌ド,3305,屋内,48,52,0.089,11,0.091,0.619,18.48,16.48,71.92,10.61,['天野'],アンジェ　ポステコグルー
8,2019-08-01,vegalta-sendai,2,1-0,1,0,1,1,ユアスタ,2758,晴,59,52,0.121,17,0.059,0.683,25.97,20.39,97.73,11.2,['Ｍジュニオール'],アンジェ　ポステコグルー
9,2019-08-08,kashiwa-reysol,5,1-1,1,1,0,0,日産ス,4988,晴,73,62,0.139,17,0.059,0.649,31.58,27.38,104.52,8.71,['オナイウ'],アンジェ　ポステコグルー
10,2019-08-15,oita-trinita,18,0-1,0,1,2,1,昭和電ド,4311,晴,49,61,0.114,14,0.0,0.58,19.65,17.34,85.78,9.06,[''],アンジェ　ポステコグルー
