Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2018-02-25,other,0,0-0,0,0,0,0,ニッパツ,10779,曇,69,49,0.148,21,0.0,0.504,20.71,13.63,115.04,16.69,[''],タヴァレス
2,2018-03-03,other,0,1-0,1,0,1,1,長良川,9331,曇,50,43,0.107,15,0.067,0.429,15.21,9.32,87.24,18.76,['イバ'],タヴァレス
3,2018-03-11,other,0,3-0,3,0,1,0,ニッパツ,4464,晴,50,43,0.189,23,0.13,0.591,19.19,15.42,74.65,14.66,"['カルフィンヨンアピン', 'イバ', '野村']",タヴァレス
4,2018-03-17,other,0,0-3,0,3,2,0,ニッパツ,7700,晴,51,44,0.102,13,0.0,0.519,13.38,10.22,94.56,12.16,[''],タヴァレス
5,2018-03-21,other,0,3-2,3,2,1,1,ＮＤスタ,5116,曇,47,51,0.061,9,0.333,0.35,10.43,8.1,122.5,16.99,"['中里', 'レアンドロドミンゲス', 'イバ']",タヴァレス
6,2018-03-25,other,0,0-0,0,0,0,1,Ｋｓスタ,6300,晴,39,51,0.058,8,0.0,0.527,12.02,10.88,88.97,17.64,[''],タヴァレス
7,2018-04-01,other,0,0-4,0,4,2,0,ニッパツ,3571,晴,49,48,0.128,19,0.0,0.612,22.98,20.36,95.68,13.36,[''],タヴァレス
8,2018-04-08,other,0,2-2,2,2,0,0,ニッパツ,4088,晴,47,43,0.139,19,0.105,0.519,10.64,8.72,72.84,19.56,"['レアンドロドミンゲス', '川崎']",タヴァレス
9,2018-04-15,oita-trinita,18,1-1,1,1,0,1,大銀ド,8102,曇時々晴,44,43,0.105,12,0.083,0.45,16.01,13.34,84.27,16.69,['イバ'],タヴァレス
10,2018-04-22,other,0,0-0,0,0,0,0,ニッパツ,3989,晴,61,43,0.143,19,0.0,0.565,18.8,14.95,83.53,12.18,[''],タヴァレス
11,2018-04-28,other,0,1-0,1,0,1,0,ニッパツ,3993,晴,50,40,0.12,12,0.083,0.343,9.74,6.66,63.35,16.46,['北爪'],タヴァレス
