Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2020-02-23,shimizu-s-pulse,11,3-1,3,1,1,1,アイスタ,17549,晴,59,39,0.102,12,0.25,0.401,11.78,9.61,87.57,14.88,"['Ｄオリヴェイラ', 'アダイウトン', 'レアンドロ']",長谷川　健太
2,2020-07-04,kashiwa-reysol,5,1-0,1,0,1,1,三協Ｆ柏,0,曇,54,44,0.096,11,0.091,0.452,13.15,10.32,80.38,11.36,['渡辺'],長谷川　健太
3,2020-07-08,kawasaki-frontale,7,0-4,0,4,2,0,味スタ,0,晴,57,27,0.102,12,0.0,0.435,12.75,10.62,88.09,10.67,[''],長谷川　健太
4,2020-07-12,yokohama-fa-marinos,8,3-1,3,1,1,1,日産ス,4769,曇,41,34,0.057,8,0.375,0.349,5.46,4.13,132.06,25.87,"['Ｄオリヴェイラ', 'レアンドロx2']",長谷川　健太
5,2020-07-18,urawa-red-diamonds,4,2-0,2,0,1,0,味スタ,4705,曇,58,46,0.135,13,0.154,0.454,14.85,12.65,74.43,16.04,"['Ｄオリヴェイラ', 'アダイウトン']",長谷川　健太
6,2020-07-22,consadole-sapporo,1,1-1,1,1,0,1,札幌ド,3151,屋内,45,55,0.118,14,0.071,0.52,13.74,11.78,102.85,13.88,['室屋'],長谷川　健太
7,2020-07-26,kashima-antlers,3,2-2,2,2,0,1,カシマ,3027,曇一時雨,61,40,0.13,16,0.125,0.491,14.85,11.15,95.95,13.44,"['渡辺', '森重']",長谷川　健太
8,2020-08-01,sagan-tosu,17,2-3,2,3,2,0,味スタ,4760,晴,61,55,0.103,12,0.167,0.512,19.63,13.65,73.04,10.42,"['レアンドロ', '原']",長谷川　健太
9,2020-08-09,cerezo-osaka,14,0-0,0,0,0,1,ヤンマー,4840,晴,63,42,0.167,18,0.0,0.429,15.11,11.17,84.97,17.14,[''],長谷川　健太
10,2020-08-15,nagoya-grampus-eight,12,1-0,1,0,1,0,味スタ,4435,晴,56,59,0.136,14,0.071,0.425,15.18,13.25,75.49,12.98,['レアンドロ'],長谷川　健太
11,2020-08-19,sanfrecce-hiroshima,16,3-3,3,3,0,1,Ｅスタ,2033,晴,51,34,0.093,10,0.3,0.368,9.71,7.07,80.99,19.95,"['Ｄオリヴェイラ', '安部', 'レアンドロ']",長谷川　健太
12,2020-08-23,shonan-bellmare,10,3-0,3,0,1,0,味スタ,4599,晴,61,57,0.155,17,0.176,0.445,16.24,13.74,84.15,10.53,"['永井', 'Ｄオリヴェイラ', '原']",長谷川　健太
26,2020-08-26,kashima-antlers,3,1-2,1,2,2,0,味スタ,4390,晴,50,42,0.095,11,0.0,0.468,7.91,6.08,71.82,12.72,['OG'],長谷川　健太
