Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2018-02-24,nagoya-grampus-eight,12,2-3,2,3,2,0,吹田Ｓ,28681,曇,49,50,0.102,14,0.143,0.497,16.89,13.28,126.6,13.58,"['遠藤', '長沢']",レヴィー　クルピ
2,2018-03-03,kashima-antlers,3,0-1,0,1,2,1,カシマ,24545,晴のち曇,47,36,0.057,8,0.0,0.547,13.21,11.22,99.49,14.83,[''],レヴィー　クルピ
3,2018-03-01,kawasaki-frontale,7,0-2,0,2,2,1,等々力,22520,曇のち晴,42,52,0.018,2,0.0,0.425,13.21,12.27,79.26,13.0,[''],レヴィー　クルピ
4,2018-03-18,kashiwa-reysol,5,2-2,2,2,0,0,吹田Ｓ,21758,曇,54,43,0.102,12,0.167,0.516,20.5,17.38,102.82,14.66,['ファンウィジョx2'],レヴィー　クルピ
5,2018-03-31,fc-tokyo,6,2-3,2,3,2,1,味スタ,21940,晴,41,43,0.101,14,0.143,0.616,15.09,13.5,111.3,11.96,['ファンウィジョx2'],レヴィー　クルピ
6,2018-04-08,vissel-kobe,15,0-1,0,1,2,0,吹田Ｓ,20606,晴,55,39,0.141,18,0.0,0.451,16.06,12.96,84.64,18.76,[''],レヴィー　クルピ
7,2018-04-11,other,0,2-0,2,0,1,0,吹田Ｓ,12615,雨のち曇,44,48,0.094,12,0.167,0.491,11.2,8.14,98.62,16.97,"['ファビオ', 'ファンウィジョ']",レヴィー　クルピ
8,2018-04-14,other,0,0-3,0,3,2,1,トラスタ,8745,雨,44,33,0.069,9,0.0,0.589,14.48,12.18,69.52,11.81,[''],レヴィー　クルピ
9,2018-04-21,cerezo-osaka,14,1-0,1,0,1,0,吹田Ｓ,35242,晴,54,43,0.083,11,0.091,0.476,12.36,9.37,70.66,15.34,['ファンウィジョ'],レヴィー　クルピ
10,2018-04-25,shonan-bellmare,10,0-1,0,1,2,1,ＢＭＷス,8002,曇,47,46,0.078,9,0.0,0.639,17.53,14.6,57.24,12.19,[''],レヴィー　クルピ
11,2018-04-29,sagan-tosu,17,3-0,3,0,1,0,吹田Ｓ,18642,晴,63,48,0.162,23,0.13,0.57,18.77,15.05,107.84,14.65,"['倉田', 'ファンウィジョ', 'マテウス']",レヴィー　クルピ
12,2018-05-02,vegalta-sendai,2,1-0,1,0,1,0,吹田Ｓ,11824,雨のち曇,56,48,0.164,21,0.048,0.386,11.91,8.28,109.66,18.6,['倉田'],レヴィー　クルピ
13,2018-05-05,consadole-sapporo,1,0-2,0,2,2,1,札幌厚別,12382,曇,63,49,0.117,15,0.0,0.506,17.79,13.04,99.51,11.39,[''],レヴィー　クルピ
14,2018-05-12,yokohama-fa-marinos,8,1-1,1,1,0,1,日産ス,21576,晴,41,36,0.085,9,0.111,0.363,9.33,6.09,55.07,23.04,['藤本'],レヴィー　クルピ
15,2018-05-19,urawa-red-diamonds,4,0-0,0,0,0,0,吹田Ｓ,25361,晴,57,44,0.144,18,0.0,0.475,14.3,10.93,95.25,21.0,[''],レヴィー　クルピ
16,2018-07-18,sanfrecce-hiroshima,16,0-4,0,4,2,1,Ｅスタ,7835,晴のち曇,0,24,0.051,5,0.0,0.445,10.71,8.47,55.85,12.65,[''],レヴィー　クルピ
17,2018-07-22,shimizu-s-pulse,11,1-2,1,2,2,0,吹田Ｓ,17542,晴,54,52,0.117,13,0.077,0.559,18.15,14.49,67.29,9.84,['ファンウィジョ'],レヴィー　クルピ
18,2018-07-28,kashima-antlers,3,1-1,1,1,0,0,吹田Ｓ,28534,曇時々雨,50,52,0.106,12,0.083,0.49,16.02,11.2,87.71,13.02,['米倉'],宮本　恒靖
19,2018-08-01,other,0,1-1,1,1,0,1,ヤマハ,13015,晴,37,48,0.095,8,0.125,0.515,11.88,9.8,50.31,12.35,['ファンウィジョ'],宮本　恒靖
20,2018-08-05,nagoya-grampus-eight,12,2-3,2,3,2,1,豊田ス,22615,晴,46,41,0.065,7,0.286,0.465,16.54,12.42,85.59,15.64,"['アデミウソン', '藤本']",宮本　恒靖
21,2018-08-01,fc-tokyo,6,2-1,2,1,1,0,吹田Ｓ,24879,晴,57,29,0.149,17,0.118,0.5,18.03,12.84,65.14,20.5,"['ファビオ', 'アデミウソン']",宮本　恒靖
22,2018-08-15,consadole-sapporo,1,1-1,1,1,0,0,吹田Ｓ,21203,曇,54,37,0.14,15,0.067,0.389,15.7,13.65,74.5,23.1,['倉田'],宮本　恒靖
23,2018-08-19,vegalta-sendai,2,1-2,1,2,2,1,ユアスタ,16110,曇,55,38,0.098,12,0.083,0.6,19.71,15.44,93.91,16.59,['渡邉'],宮本　恒靖
24,2018-08-26,sagan-tosu,17,0-3,0,3,2,1,ベアスタ,20060,晴,47,35,0.098,12,0.0,0.617,19.77,17.4,73.79,14.47,[''],宮本　恒靖
25,2018-09-01,kawasaki-frontale,7,2-0,2,0,1,0,吹田Ｓ,19683,曇,30,40,0.062,8,0.25,0.379,8.36,7.63,109.42,18.98,"['渡邉', 'ファビオ']",宮本　恒靖
