Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2019-02-24,other,0,1-3,1,3,2,1,タピスタ,7385,曇時々雨,58,44,0.157,20,0.05,0.576,23.25,17.62,87.55,14.38,['松田'],ファビオ　ペッキア
2,2019-03-02,other,0,0-0,0,0,0,0,博多陸,12028,曇,55,40,0.114,13,0.0,0.607,21.02,16.93,63.25,15.47,[''],ファビオ　ペッキア
3,2019-03-09,other,0,0-1,0,1,2,0,博多陸,6259,晴,36,61,0.059,6,0.0,0.427,11.87,10.68,82.4,8.45,[''],ファビオ　ペッキア
4,2019-03-17,other,0,1-2,1,2,2,1,Ｃスタ,7677,晴,43,36,0.115,15,0.067,0.574,16.75,13.0,55.28,13.25,['ヤンドンヒョン'],ファビオ　ペッキア
5,2019-03-23,other,0,1-0,1,0,1,1,デンカＳ,11740,曇時々晴,66,35,0.161,18,0.056,0.549,24.08,17.34,62.75,16.66,['ヤンドンヒョン'],ファビオ　ペッキア
6,2019-03-03,other,0,0-1,0,1,2,0,博多陸,5789,晴,36,45,0.042,5,0.0,0.472,12.04,10.44,78.37,18.81,[''],ファビオ　ペッキア
7,2019-04-03,other,0,2-1,2,1,1,0,博多陸,4085,晴,58,66,0.088,12,0.167,0.549,16.14,12.58,85.99,12.78,"['石津', '實藤']",ファビオ　ペッキア
8,2019-04-07,yokohama-fc,9,1-1,1,1,0,1,ニッパツ,11260,晴,48,42,0.09,11,0.091,0.547,14.03,11.03,69.85,16.14,['ヤンドンヒョン'],ファビオ　ペッキア
9,2019-04-13,other,0,0-2,0,2,2,0,博多陸,5042,晴のち曇,41,36,0.037,5,0.0,0.612,12.31,8.18,45.12,10.95,[''],ファビオ　ペッキア
10,2019-04-02,other,0,2-1,2,1,1,1,ニンスタ,2681,晴,42,53,0.142,16,0.125,0.425,11.52,8.34,73.76,14.09,"['木戸', '松田']",ファビオ　ペッキア
11,2019-04-27,other,0,0-1,0,1,2,0,博多陸,5105,晴,46,37,0.085,10,0.0,0.49,8.68,7.62,50.23,16.23,[''],ファビオ　ペッキア
12,2019-05-03,other,0,1-1,1,1,0,1,石川西部,5176,晴,35,37,0.047,6,0.167,0.541,13.11,10.25,53.94,17.55,['Ｆミコルタ'],ファビオ　ペッキア
13,2019-05-11,other,0,2-3,2,3,2,1,味スタ,4526,晴,47,53,0.116,15,0.133,0.628,19.62,17.28,89.76,10.39,"['ヤンドンヒョン', '鈴木']",ファビオ　ペッキア
14,2019-05-18,other,0,0-3,0,3,2,0,博多陸,3578,曇時々雨,45,45,0.054,7,0.0,0.607,15.04,13.48,90.46,13.83,[''],ファビオ　ペッキア
15,2019-05-26,other,0,1-0,1,0,1,1,白波スタ,5925,晴,53,44,0.096,11,0.091,0.403,10.67,7.44,69.09,19.81,['松田'],ファビオ　ペッキア
16,2019-06-02,other,0,1-1,1,1,0,0,レベスタ,10075,晴時々曇,46,39,0.122,14,0.071,0.574,15.38,11.85,59.75,14.98,['ヤンドンヒョン'],ファビオ　ペッキア
17,2019-06-09,other,0,2-4,2,4,2,1,Ｋｓスタ,5074,曇時々晴,47,42,0.085,11,0.182,0.466,12.08,9.41,78.58,18.09,"['松田', 'ヤンドンヒョン']",久藤　清一
18,2019-06-16,kashiwa-reysol,5,1-1,1,1,0,0,レベスタ,10348,晴,41,32,0.081,10,0.1,0.397,7.54,6.83,78.64,24.52,['城後'],久藤　清一
19,2019-06-22,other,0,1-2,1,2,2,1,鳴門大塚,5415,晴,46,62,0.088,10,0.1,0.491,12.46,11.62,75.88,8.47,['ヤンドンヒョン'],久藤　清一
20,2019-06-03,other,0,2-4,2,4,2,0,レベスタ,5403,雨,43,54,0.076,10,0.2,0.521,13.77,11.13,85.85,14.44,"['森本', '石津']",久藤　清一
21,2019-07-06,other,0,1-3,1,3,2,0,レベスタ,7059,晴,65,60,0.168,21,0.048,0.667,27.44,18.82,81.89,8.86,['木戸'],久藤　清一
22,2019-07-14,other,0,2-0,2,0,1,1,町田,3017,雨,47,38,0.061,9,0.222,0.421,8.75,5.75,92.34,26.89,"['松田', '木戸']",久藤　清一
23,2019-07-02,other,0,0-3,0,3,2,1,フクアリ,8541,曇,44,43,0.066,7,0.0,0.502,12.56,9.86,65.0,12.52,[''],久藤　清一
24,2019-07-27,other,0,1-1,1,1,0,0,レベスタ,6045,晴,52,54,0.147,19,0.053,0.476,17.96,12.18,87.66,15.69,['ヤンドンヒョン'],久藤　清一
25,2019-07-31,other,0,2-1,2,1,1,1,ＮＤスタ,6012,晴,37,45,0.1,11,0.182,0.367,7.05,5.87,62.64,15.86,"['城後', 'ヤンドンヒョン']",久藤　清一
26,2019-08-04,yokohama-fc,9,0-2,0,2,2,0,レベスタ,10824,晴,51,60,0.141,13,0.0,0.499,17.39,12.74,64.25,10.89,[''],久藤　清一
27,2019-08-11,other,0,2-0,2,0,1,1,長良川,7674,晴,43,57,0.069,8,0.25,0.521,14.1,11.8,85.46,14.62,"['ヤンドンヒョン', '城後']",久藤　清一
28,2019-08-17,other,0,0-1,0,1,2,0,レベスタ,6014,晴,32,54,0.091,9,0.0,0.463,13.41,12.39,57.4,9.18,[''],久藤　清一
