Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2018-02-25,kashiwa-reysol,5,1-0,1,0,1,0,ユアスタ,15655,晴,50,53,0.073,9,0.111,0.52,13.47,10.8,88.04,12.45,['板倉'],渡邉　晋
2,2018-03-03,fc-tokyo,6,1-0,1,0,1,1,味スタ,16990,晴のち曇,37,45,0.043,6,0.167,0.517,10.45,9.12,102.18,15.15,['石原'],渡邉　晋
3,2018-03-01,vissel-kobe,15,1-1,1,1,0,0,ユアスタ,14270,晴,50,55,0.087,13,0.077,0.634,20.67,17.97,120.52,13.92,['石原'],渡邉　晋
4,2018-03-18,shimizu-s-pulse,11,1-1,1,1,0,1,アイスタ,13965,晴,59,51,0.079,12,0.083,0.605,20.41,16.32,85.57,14.35,['阿部'],渡邉　晋
5,2018-03-31,other,0,1-0,1,0,1,0,ユアスタ,13158,晴,49,45,0.058,8,0.125,0.45,13.36,9.41,111.08,20.65,['西村'],渡邉　晋
6,2018-04-07,urawa-red-diamonds,4,0-1,0,1,2,1,埼玉,28984,曇,56,51,0.073,9,0.0,0.544,17.82,14.3,86.45,15.69,[''],渡邉　晋
7,2018-04-11,nagoya-grampus-eight,12,3-2,3,2,1,1,パロ瑞穂,9297,曇,44,53,0.11,14,0.214,0.439,12.53,9.02,126.32,16.66,"['石原', '西村x2']",渡邉　晋
8,2018-04-14,kawasaki-frontale,7,0-0,0,0,0,0,ユアスタ,14024,曇のち雨,52,40,0.074,10,0.0,0.436,12.67,9.17,109.65,13.4,[''],渡邉　晋
9,2018-04-21,other,0,0-3,0,3,2,0,ユアスタ,13316,晴,50,54,0.085,11,0.0,0.612,15.91,13.05,93.51,8.52,[''],渡邉　晋
10,2018-04-25,cerezo-osaka,14,1-2,1,2,2,1,金鳥スタ,8165,曇,53,38,0.078,9,0.111,0.522,15.64,11.55,75.19,16.79,['蜂須賀'],渡邉　晋
11,2018-04-28,consadole-sapporo,1,2-2,2,2,0,0,ユアスタ,13812,晴,64,61,0.126,17,0.118,0.564,24.76,20.18,96.09,14.21,"['西村', '大岩']",渡邉　晋
12,2018-05-02,gamba-osaka,13,0-1,0,1,2,1,吹田Ｓ,11824,雨のち曇,52,44,0.117,14,0.0,0.614,21.53,16.21,75.42,11.96,[''],渡邉　晋
13,2018-05-06,shonan-bellmare,10,3-1,3,1,1,1,ＢＭＷス,11805,晴のち曇,50,37,0.078,10,0.3,0.5,10.05,9.02,62.36,19.79,"['野津田', '西村x2']",渡邉　晋
14,2018-05-12,sanfrecce-hiroshima,16,1-3,1,3,2,0,ユアスタ,15115,曇,58,40,0.095,11,0.091,0.553,18.53,12.37,74.59,15.26,['奥埜'],渡邉　晋
15,2018-05-02,kashima-antlers,3,2-1,2,1,1,1,カシマ,23942,晴,55,40,0.085,12,0.167,0.484,15.45,12.63,109.21,21.36,"['石原', '板倉']",渡邉　晋
16,2018-07-18,yokohama-fa-marinos,8,2-8,2,8,2,0,ユアスタ,13081,曇,52,50,0.097,12,0.167,0.455,12.02,10.05,63.08,13.16,"['ジャーメイン', '蜂須賀']",渡邉　晋
17,2018-07-22,sagan-tosu,17,1-0,1,0,1,1,ベアスタ,17537,雨,42,34,0.059,7,0.143,0.481,10.98,7.88,69.64,23.61,['西村'],渡邉　晋
18,2018-07-28,cerezo-osaka,14,2-2,2,2,0,0,ユアスタ,14911,曇,56,53,0.144,17,0.118,0.456,18.12,11.95,85.25,18.59,"['西村', '蜂須賀']",渡邉　晋
19,2018-08-01,nagoya-grampus-eight,12,1-2,1,2,2,0,ユアスタ,13968,晴,69,52,0.14,17,0.059,0.52,26.41,16.42,108.06,12.52,['中野'],渡邉　晋
20,2018-08-05,other,0,2-3,2,3,2,1,ヤマハ,12496,晴,52,43,0.124,13,0.154,0.47,17.78,11.4,67.57,19.06,"['中野', '阿部']",渡邉　晋
21,2018-08-11,kashiwa-reysol,5,2-0,2,0,1,1,三協Ｆ柏,12666,曇,48,40,0.111,14,0.143,0.477,13.37,9.81,67.35,21.18,"['奥埜', '西村']",渡邉　晋
22,2018-08-15,shonan-bellmare,10,4-1,4,1,1,0,ユアスタ,16892,雨のち曇,63,36,0.102,13,0.308,0.439,11.05,8.06,95.2,15.82,"['関口', '西村', 'ハーフナー', '蜂須賀']",渡邉　晋
23,2018-08-19,gamba-osaka,13,2-1,2,1,1,0,ユアスタ,16110,曇,62,45,0.118,15,0.067,0.4,15.87,10.26,115.58,16.56,"['西村', 'OG']",渡邉　晋
24,2018-08-25,kawasaki-frontale,7,0-1,0,1,2,1,等々力,23816,晴,56,42,0.059,6,0.0,0.435,17.18,14.63,73.35,15.25,[''],渡邉　晋
25,2018-09-01,shimizu-s-pulse,11,2-1,2,1,1,0,ユアスタ,14293,曇,54,45,0.085,12,0.167,0.57,22.68,18.59,87.24,19.17,"['大岩', '石原']",渡邉　晋
26,2018-09-15,fc-tokyo,6,1-0,1,0,1,0,ユアスタ,17887,曇のち晴,44,44,0.061,7,0.0,0.47,10.36,8.17,84.0,21.44,['OG'],渡邉　晋
27,2018-09-22,other,0,0-1,0,1,2,1,トラスタ,9990,晴,55,49,0.162,19,0.0,0.637,23.45,17.72,82.8,13.6,[''],渡邉　晋
28,2018-09-29,yokohama-fa-marinos,8,2-5,2,5,2,1,ニッパツ,8688,雨,52,51,0.085,10,0.1,0.469,14.14,9.7,87.63,13.3,"['ジャーメイン', 'OG']",渡邉　晋
29,2018-10-07,urawa-red-diamonds,4,1-1,1,1,0,0,ユアスタ,18276,晴,33,49,0.097,10,0.1,0.556,13.38,11.03,75.34,11.92,['板倉'],渡邉　晋
30,2018-10-02,sagan-tosu,17,2-3,2,3,2,0,ユアスタ,18023,曇一時雷雨,52,47,0.122,15,0.133,0.525,17.42,12.77,81.91,12.47,"['野津田', '石原']",渡邉　晋
31,2018-11-04,consadole-sapporo,1,0-1,0,1,2,1,札幌ド,24065,屋内,58,41,0.159,18,0.0,0.442,15.46,12.04,67.54,13.83,[''],渡邉　晋
32,2018-11-01,sanfrecce-hiroshima,16,1-0,1,0,1,1,Ｅスタ,13091,晴,47,42,0.086,11,0.091,0.53,15.95,12.78,80.87,18.41,['石原'],渡邉　晋
33,2018-11-24,kashima-antlers,3,0-3,0,3,2,0,ユアスタ,19152,曇のち晴,50,40,0.096,12,0.0,0.518,17.49,13.36,111.22,12.48,[''],渡邉　晋
34,2018-12-01,vissel-kobe,15,2-3,2,3,2,1,ノエスタ,24517,晴,58,45,0.142,15,0.133,0.359,16.16,12.69,94.64,15.22,"['ハモンロペス', 'ジャーメイン']",渡邉　晋
