ID,Year,Sec,Date,Home,Away,HomeID,AwayID,Stadium
13010512,2013,1,2013-03-02,横浜FM,湘南,5,12,日産ス
13010813,2013,1,2013-03-02,名古屋,磐田,8,13,豊田ス
13013301,2013,1,2013-03-02,鳥栖,鹿島,33,1,ベアスタ
13012078,2013,1,2013-03-02,Ｃ大阪,新潟,20,78,長居
13015428,2013,1,2013-03-02,仙台,甲府,54,28,ユアスタ
13011003,2013,1,2013-03-02,広島,浦和,10,3,Ｅスタ
13012707,2013,1,2013-03-02,大宮,清水,27,7,ＮＡＣＫ
13013122,2013,1,2013-03-02,大分,FC東京,31,22,大銀ド
13011121,2013,1,2013-03-03,柏,川崎Ｆ,11,21,柏
13027810,2013,2,2013-03-09,新潟,広島,78,10,東北電ス
13020705,2013,2,2013-03-09,清水,横浜FM,7,5,アイスタ
13022211,2013,2,2013-03-09,FC東京,柏,22,11,味スタ
13020154,2013,2,2013-03-09,鹿島,仙台,1,54,カシマ
13022820,2013,2,2013-03-09,甲府,Ｃ大阪,28,20,中銀スタ
13021327,2013,2,2013-03-09,磐田,大宮,13,27,ヤマハ
13022131,2013,2,2013-03-09,川崎Ｆ,大分,21,31,国立
13020308,2013,2,2013-03-09,浦和,名古屋,3,8,埼玉
13021233,2013,2,2013-03-09,湘南,鳥栖,12,33,ＢＭＷス
13030513,2013,3,2013-03-16,横浜FM,磐田,5,13,日産ス
13035411,2013,3,2013-03-16,仙台,柏,54,11,ユアスタ
13033321,2013,3,2013-03-16,鳥栖,川崎Ｆ,33,21,ベアスタ
13033103,2013,3,2013-03-16,大分,浦和,31,3,大銀ド
13032778,2013,3,2013-03-16,大宮,新潟,27,78,ＮＡＣＫ
13032022,2013,3,2013-03-16,Ｃ大阪,FC東京,20,22,長居
13031207,2013,3,2013-03-16,湘南,清水,12,7,ＢＭＷス
13032808,2013,3,2013-03-16,甲府,名古屋,28,8,中銀スタ
13031001,2013,3,2013-03-17,広島,鹿島,10,1,Ｅスタ
13040710,2013,4,2013-03-30,清水,広島,7,10,アイスタ
13042054,2013,4,2013-03-30,Ｃ大阪,仙台,20,54,長居
13041333,2013,4,2013-03-30,磐田,鳥栖,13,33,ヤマハ
13042701,2013,4,2013-03-30,大宮,鹿島,27,1,ＮＡＣＫ
13042128,2013,4,2013-03-30,川崎Ｆ,甲府,21,28,等々力
13040812,2013,4,2013-03-30,名古屋,湘南,8,12,瑞穂陸
13041131,2013,4,2013-03-30,柏,大分,11,31,柏
13047803,2013,4,2013-03-30,新潟,浦和,78,3,東北電ス
13040522,2013,4,2013-03-30,横浜FM,FC東京,5,22,日産ス
13052227,2013,5,2013-04-06,FC東京,大宮,22,27,味スタ
13055478,2013,5,2013-04-06,仙台,新潟,54,78,ユアスタ
13051005,2013,5,2013-04-06,広島,横浜FM,10,5,Ｅスタ
13053307,2013,5,2013-04-06,鳥栖,清水,33,7,ベアスタ
13053128,2013,5,2013-04-06,大分,甲府,31,28,大銀ド
13050120,2013,5,2013-04-06,鹿島,Ｃ大阪,1,20,カシマ
13051108,2013,5,2013-04-06,柏,名古屋,11,8,柏
13051221,2013,5,2013-04-06,湘南,川崎Ｆ,12,21,ＢＭＷス
13050313,2013,5,2013-04-06,浦和,磐田,3,13,埼玉
13062811,2013,6,2013-04-13,甲府,柏,28,11,中銀スタ
13060521,2013,6,2013-04-13,横浜FM,川崎Ｆ,5,21,日産ス
13060878,2013,6,2013-04-13,名古屋,新潟,8,78,豊田ス
13065422,2013,6,2013-04-13,仙台,FC東京,54,22,ユアスタ
13063101,2013,6,2013-04-13,大分,鹿島,31,1,大銀ド
