date,kashima-antlers,jef-united,urawa-red-diamonds,yokohama-fa-marinos,shimizu-s-pulse,nagoya-grampus-eight,gamba-osaka,sanfrecce-hiroshima,jubilo-iwata,kawasaki-frontale,fc-tokyo,omiya-ardija,ventforet-kofu,oita-trinita,albirex-niigata,vissel-kobe,kashiwa-reysol,yokohama-fc
2007-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-04,0,0,3,3,3,0,3,3,0,3,0,0,0,1,1,0,0,0
2007-03-05,0,0,3,3,3,3,3,3,0,3,0,0,0,1,1,0,3,0
2007-03-06,0,0,3,3,3,3,3,3,0,3,0,0,0,1,1,0,3,0
2007-03-07,0,0,3,3,3,3,3,3,0,3,0,0,0,1,1,0,3,0
2007-03-08,0,0,3,3,3,3,3,3,0,3,0,0,0,1,1,0,3,0
2007-03-09,0,0,3,3,3,3,3,3,0,3,0,0,0,1,1,0,3,0
2007-03-10,0,0,3,3,3,3,3,3,0,3,0,0,0,1,1,0,3,0
2007-03-11,0,0,3,3,6,6,3,4,3,3,3,0,0,1,1,0,4,3
2007-03-12,0,0,4,3,6,6,6,4,3,4,3,0,0,1,2,1,4,3
2007-03-13,0,0,4,3,6,6,6,4,3,4,3,0,0,1,2,1,4,3
2007-03-14,0,0,4,3,6,6,6,4,3,4,3,0,0,1,2,1,4,3
2007-03-15,0,0,4,3,6,6,6,4,3,4,3,0,0,1,2,1,4,3
2007-03-16,0,0,4,3,6,6,6,4,3,4,3,0,0,1,2,1,4,3
2007-03-17,0,0,4,3,6,6,6,4,3,4,3,0,0,1,2,1,4,3
2007-03-18,1,1,7,3,6,6,9,4,3,7,3,0,0,4,2,4,7,3
2007-03-19,1,1,7,3,6,9,9,4,6,7,3,0,0,4,2,4,7,3
2007-03-20,1,1,7,3,6,9,9,4,6,7,3,0,0,4,2,4,7,3
2007-03-21,1,1,7,3,6,9,9,4,6,7,3,0,0,4,2,4,7,3
2007-03-22,1,1,7,3,6,9,9,4,6,7,3,0,0,4,2,4,7,3
2007-03-23,1,1,7,3,6,9,9,4,6,7,3,0,0,4,2,4,7,3
2007-03-24,1,1,7,3,6,9,9,4,6,7,3,0,0,4,2,4,7,3
2007-03-25,1,1,7,3,6,9,9,4,6,7,3,0,0,4,2,4,7,3
2007-03-26,1,1,7,3,6,9,9,4,6,7,3,0,0,4,2,4,7,3
2007-03-27,1,1,7,3,6,9,9,4,6,7,3,0,0,4,2,4,7,3
2007-03-28,1,1,7,3,6,9,9,4,6,7,3,0,0,4,2,4,7,3
2007-03-29,1,1,7,3,6,9,9,4,6,7,3,0,0,4,2,4,7,3
2007-03-30,1,1,7,3,6,9,9,4,6,7,3,0,0,4,2,4,7,3
2007-03-31,1,1,7,3,6,9,9,4,6,7,3,0,0,4,2,4,7,3
2007-04-01,2,1,7,6,9,9,12,4,9,7,3,0,0,4,5,5,10,3
2007-04-02,2,1,8,6,9,12,12,4,9,7,3,0,0,5,5,5,10,3
2007-04-03,2,1,8,6,9,12,12,4,9,7,3,0,0,5,5,5,10,3
2007-04-04,2,1,8,6,9,12,12,4,9,7,3,0,0,5,5,5,10,3
2007-04-05,2,1,8,6,9,12,12,4,9,7,3,0,0,5,5,5,10,3
2007-04-06,2,1,8,6,9,12,12,4,9,7,3,0,0,5,5,5,10,3
2007-04-07,2,1,8,6,9,12,12,4,9,7,3,0,0,5,5,5,10,3
2007-04-08,3,1,11,6,9,12,13,7,9,8,3,1,3,5,8,5,13,3
2007-04-09,3,4,11,6,12,12,13,7,9,8,3,1,3,5,8,5,13,3
2007-04-10,3,4,11,6,12,12,13,7,9,8,3,1,3,5,8,5,13,3
2007-04-11,3,4,11,6,12,12,13,7,9,8,3,1,3,5,8,5,13,3
2007-04-12,3,4,11,6,12,12,13,7,9,8,3,1,3,5,8,5,13,3
2007-04-13,3,4,11,6,12,12,13,7,9,8,3,1,3,5,8,5,13,3
2007-04-14,3,4,11,6,12,12,13,7,9,8,3,1,3,5,8,5,13,3
2007-04-15,6,4,11,6,12,12,13,8,12,8,3,4,4,5,11,8,13,3
2007-04-16,6,4,14,6,12,12,13,8,12,11,4,4,4,6,11,8,13,3
2007-04-17,6,4,14,6,12,12,13,8,12,11,4,4,4,6,11,8,13,3
2007-04-18,6,4,14,6,12,12,13,8,12,11,4,4,4,6,11,8,13,3
2007-04-19,6,4,14,6,12,12,13,8,12,11,4,4,4,6,11,8,13,3
2007-04-20,6,4,14,6,12,12,13,8,12,11,4,4,4,6,11,8,13,3
2007-04-21,6,4,14,6,12,12,13,8,12,11,4,4,4,6,11,8,13,3
2007-04-22,9,7,14,6,12,15,13,9,12,14,7,4,7,6,12,8,13,3
2007-04-23,9,7,14,9,12,15,16,9,12,14,7,4,7,6,12,8,13,3
2007-04-24,9,7,14,9,12,15,16,9,12,14,7,4,7,6,12,8,13,3
2007-04-25,9,7,14,9,12,15,16,9,12,14,7,4,7,6,12,8,13,3
2007-04-26,9,7,14,9,12,15,16,9,12,14,7,4,7,6,12,8,13,3
2007-04-27,9,7,14,9,12,15,16,9,12,14,7,4,7,6,12,8,13,3
2007-04-28,9,7,14,9,12,15,16,9,12,14,7,4,7,6,12,8,13,3
2007-04-29,9,7,14,12,13,15,19,9,15,14,8,4,10,6,12,9,16,4
2007-04-30,9,8,17,12,13,15,19,9,15,15,8,4,10,6,12,9,16,4
2007-05-01,9,8,17,12,13,15,19,9,15,15,8,4,10,6,12,9,16,4
2007-05-02,9,8,17,12,13,15,19,9,15,15,8,4,10,6,12,9,16,4
2007-05-03,9,8,17,12,13,15,19,9,15,15,8,4,10,6,12,9,16,4
2007-05-04,12,9,18,15,16,15,20,12,15,15,8,4,13,9,13,10,17,4
2007-05-05,12,9,18,15,16,15,20,12,15,15,8,4,13,9,13,10,17,4
2007-05-06,12,9,18,15,16,15,20,12,15,15,8,4,13,9,13,10,17,4
2007-05-07,13,10,19,16,17,15,21,15,18,18,8,5,13,9,16,13,18,4
2007-05-08,13,10,19,16,17,15,21,15,18,18,8,5,13,9,16,13,18,4
2007-05-09,13,10,19,16,17,15,21,15,18,18,8,5,13,9,16,13,18,4
2007-05-10,13,10,19,16,17,15,21,15,18,18,8,5,13,9,16,13,18,4
2007-05-11,13,10,19,16,17,15,21,15,18,18,8,5,13,9,16,13,18,4
2007-05-12,13,10,19,16,17,15,21,15,18,18,8,5,13,9,16,13,18,4
2007-05-13,16,10,19,16,20,18,21,15,18,18,11,5,13,9,16,13,21,7
2007-05-14,16,10,20,16,20,18,22,15,18,21,11,6,13,9,16,14,21,7
2007-05-15,16,10,20,16,20,18,22,15,18,21,11,6,13,9,16,14,21,7
2007-05-16,16,10,20,16,20,18,22,15,18,21,11,6,13,9,16,14,21,7
2007-05-17,16,10,20,16,20,18,22,15,18,21,11,6,13,9,16,14,21,7
2007-05-18,16,10,20,16,20,18,22,15,18,21,11,6,13,9,16,14,21,7
2007-05-19,16,10,20,16,20,18,22,15,18,21,11,6,13,9,16,14,21,7
2007-05-20,17,10,23,16,21,18,25,18,18,21,11,9,14,12,17,14,21,7
2007-05-21,17,10,23,16,21,18,25,18,18,21,14,9,14,12,17,17,21,7
2007-05-22,17,10,23,16,21,18,25,18,18,21,14,9,14,12,17,17,21,7
2007-05-23,17,10,23,16,21,18,25,18,18,21,14,9,14,12,17,17,21,7
2007-05-24,17,10,23,16,21,18,25,18,18,21,14,9,14,12,17,17,21,7
2007-05-25,17,10,23,16,21,18,25,18,18,21,14,9,14,12,17,17,21,7
