date,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,shimizu-s-pulse,nagoya-grampus-eight,jubilo-iwata,kawasaki-frontale,omiya-ardija,albirex-niigata,sanfrecce-hiroshima,vegalta-sendai,cerezo-osaka,kashiwa-reysol,fc-tokyo,sagan-tosu,ventforet-kofu,shonan-bellmare,oita-trinita
2013-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-03,1,3,3,1,1,1,0,1,0,0,1,3,0,3,1,1,0,0
2013-03-04,1,3,3,1,1,1,0,1,0,0,1,3,3,3,1,1,0,0
2013-03-05,1,3,3,1,1,1,0,1,0,0,1,3,3,3,1,1,0,0
2013-03-06,1,3,3,1,1,1,0,1,0,0,1,3,3,3,1,1,0,0
2013-03-07,1,3,3,1,1,1,0,1,0,0,1,3,3,3,1,1,0,0
2013-03-08,1,3,3,1,1,1,0,1,0,0,1,3,3,3,1,1,0,0
2013-03-09,1,3,3,1,1,1,0,1,0,0,1,3,3,3,1,1,0,0
2013-03-10,4,6,6,1,1,1,1,4,0,3,1,6,3,6,2,1,1,1
2013-03-11,4,6,6,1,1,1,1,4,0,3,1,6,3,6,2,1,1,1
2013-03-12,4,6,6,1,1,1,1,4,0,3,1,6,3,6,2,1,1,1
2013-03-13,4,6,6,1,1,1,1,4,0,3,1,6,3,6,2,1,1,1
2013-03-14,4,6,6,1,1,1,1,4,0,3,1,6,3,6,2,1,1,1
2013-03-15,4,6,6,1,1,1,1,4,0,3,1,6,3,6,2,1,1,1
2013-03-16,4,6,6,1,1,1,1,4,0,3,1,6,3,6,2,1,1,1
2013-03-17,4,7,9,2,4,1,1,5,1,3,4,9,3,6,5,1,2,2
2013-03-18,5,7,9,2,4,1,1,5,1,4,4,9,3,6,5,1,2,2
2013-03-19,5,7,9,2,4,1,1,5,1,4,4,9,3,6,5,1,2,2
2013-03-20,5,7,9,2,4,1,1,5,1,4,4,9,3,6,5,1,2,2
2013-03-21,5,7,9,2,4,1,1,5,1,4,4,9,3,6,5,1,2,2
2013-03-22,5,7,9,2,4,1,1,5,1,4,4,9,3,6,5,1,2,2
2013-03-23,5,7,9,2,4,1,1,5,1,4,4,9,3,6,5,1,2,2
2013-03-24,5,7,9,2,4,1,1,5,1,4,4,9,3,6,5,1,2,2
