date,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,shimizu-s-pulse,nagoya-grampus-eight,kawasaki-frontale,omiya-ardija,albirex-niigata,sanfrecce-hiroshima,vegalta-sendai,cerezo-osaka,kashiwa-reysol,fc-tokyo,sagan-tosu,ventforet-kofu,gamba-osaka,vissel-kobe,tokushima-vortis
2014-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-02,3,3,0,3,0,0,0,3,3,0,0,1,1,3,0,0,0,0
2014-03-03,3,3,3,3,0,1,0,3,3,0,0,1,1,3,0,0,1,0
2014-03-04,3,3,3,3,0,1,0,3,3,0,0,1,1,3,0,0,1,0
2014-03-05,3,3,3,3,0,1,0,3,3,0,0,1,1,3,0,0,1,0
2014-03-06,3,3,3,3,0,1,0,3,3,0,0,1,1,3,0,0,1,0
2014-03-07,3,3,3,3,0,1,0,3,3,0,0,1,1,3,0,0,1,0
2014-03-08,3,3,3,3,0,1,0,3,3,0,0,1,1,3,0,0,1,0
2014-03-09,6,3,6,3,3,1,0,3,6,0,3,2,2,6,1,3,2,0
2014-03-10,6,3,6,3,3,1,0,3,6,0,3,2,2,6,1,3,2,0
2014-03-11,6,3,6,3,3,1,0,3,6,0,3,2,2,6,1,3,2,0
2014-03-12,6,3,6,3,3,1,0,3,6,0,3,2,2,6,1,3,2,0
2014-03-13,6,3,6,3,3,1,0,3,6,0,3,2,2,6,1,3,2,0
2014-03-14,6,3,6,3,3,1,0,3,6,0,3,2,2,6,1,3,2,0
2014-03-15,6,3,6,3,3,1,0,3,6,0,3,2,2,6,1,3,2,0
2014-03-16,9,6,9,3,6,1,3,4,6,1,6,2,2,6,2,4,5,0
2014-03-17,9,6,9,3,6,1,3,4,6,1,6,2,2,6,2,4,5,0
2014-03-18,9,6,9,3,6,1,3,4,6,1,6,2,2,6,2,4,5,0
2014-03-19,9,6,9,3,6,1,3,4,6,1,6,2,2,6,2,4,5,0
2014-03-20,9,6,9,3,6,1,3,4,6,1,6,2,2,6,2,4,5,0
2014-03-21,9,6,9,3,6,1,3,4,6,1,6,2,2,6,2,4,5,0
2014-03-22,9,6,9,3,6,1,3,4,6,1,6,2,2,6,2,4,5,0
2014-03-23,9,6,9,3,6,1,3,4,6,1,6,2,2,6,2,4,5,0
2014-03-24,9,7,9,4,9,4,6,7,7,1,9,5,2,6,5,5,5,0
2014-03-25,9,7,9,4,9,4,6,7,7,1,9,5,2,6,5,5,5,0
2014-03-26,9,7,9,4,9,4,6,7,7,1,9,5,2,6,5,5,5,0
2014-03-27,9,7,9,4,9,4,6,7,7,1,9,5,2,6,5,5,5,0
2014-03-28,9,7,9,4,9,4,6,7,7,1,9,5,2,6,5,5,5,0
