,kashima-antlers,jef-united,urawa-red-diamonds,yokohama-fa-marinos,shimizu-s-pulse,nagoya-grampus-eight,gamba-osaka,sanfrecce-hiroshima,jubilo-iwata,kawasaki-frontale,fc-tokyo,omiya-ardija,ventforet-kofu,oita-trinita,albirex-niigata,vissel-kobe,kashiwa-reysol,yokohama-fc
2007-03-03,1530,1471,1589,1484,1545,1516,1556,1499,1547,1570,1477,1481,1478,1492,1470,1428,1428,1428
2007-03-04,1523,1471,1593,1492,1550,1516,1562,1507,1547,1577,1470,1474,1471,1492,1471,1423,1428,1424
2007-03-05,1523,1465,1593,1492,1550,1523,1562,1507,1537,1577,1470,1474,1471,1492,1471,1423,1439,1424
2007-03-06,1523,1465,1593,1492,1550,1523,1562,1507,1537,1577,1470,1474,1471,1492,1471,1423,1439,1424
2007-03-07,1523,1465,1593,1492,1550,1523,1562,1507,1537,1577,1470,1474,1471,1492,1471,1423,1439,1424
2007-03-08,1523,1465,1593,1492,1550,1523,1562,1507,1537,1577,1470,1474,1471,1492,1471,1423,1439,1424
2007-03-09,1523,1465,1593,1492,1550,1523,1562,1507,1537,1577,1470,1474,1471,1492,1471,1423,1439,1424
2007-03-10,1523,1465,1593,1492,1550,1523,1562,1507,1537,1577,1470,1474,1471,1492,1471,1423,1439,1424
2007-03-11,1523,1458,1593,1483,1556,1530,1562,1505,1544,1577,1478,1466,1464,1485,1471,1423,1441,1433
2007-03-12,1515,1458,1591,1483,1556,1530,1569,1505,1544,1574,1478,1466,1464,1485,1474,1426,1441,1433
2007-03-13,1515,1458,1591,1483,1556,1530,1569,1505,1544,1574,1478,1466,1464,1485,1474,1426,1441,1433
2007-03-14,1515,1458,1591,1483,1556,1530,1569,1505,1544,1574,1478,1466,1464,1485,1474,1426,1441,1433
2007-03-15,1515,1458,1591,1483,1556,1530,1569,1505,1544,1574,1478,1466,1464,1485,1474,1426,1441,1433
2007-03-16,1515,1458,1591,1483,1556,1530,1569,1505,1544,1574,1478,1466,1464,1485,1474,1426,1441,1433
2007-03-17,1515,1458,1591,1483,1556,1530,1569,1505,1544,1574,1478,1466,1464,1485,1474,1426,1441,1433
2007-03-18,1514,1460,1596,1473,1546,1530,1575,1498,1544,1579,1478,1459,1459,1492,1474,1436,1451,1428
2007-03-19,1514,1460,1596,1473,1546,1536,1575,1498,1550,1579,1471,1459,1459,1492,1467,1436,1451,1428
2007-03-20,1514,1460,1596,1473,1546,1536,1575,1498,1550,1579,1471,1459,1459,1492,1467,1436,1451,1428
2007-03-21,1514,1460,1596,1473,1546,1536,1575,1498,1550,1579,1471,1459,1459,1492,1467,1436,1451,1428
2007-03-22,1514,1460,1596,1473,1546,1536,1575,1498,1550,1579,1471,1459,1459,1492,1467,1436,1451,1428
2007-03-23,1514,1460,1596,1473,1546,1536,1575,1498,1550,1579,1471,1459,1459,1492,1467,1436,1451,1428
2007-03-24,1514,1460,1596,1473,1546,1536,1575,1498,1550,1579,1471,1459,1459,1492,1467,1436,1451,1428
2007-03-25,1514,1460,1596,1473,1546,1536,1575,1498,1550,1579,1471,1459,1459,1492,1467,1436,1451,1428
2007-03-26,1514,1460,1596,1473,1546,1536,1575,1498,1550,1579,1471,1459,1459,1492,1467,1436,1451,1428
2007-03-27,1514,1460,1596,1473,1546,1536,1575,1498,1550,1579,1471,1459,1459,1492,1467,1436,1451,1428
2007-03-28,1514,1460,1596,1473,1546,1536,1575,1498,1550,1579,1471,1459,1459,1492,1467,1436,1451,1428
2007-03-29,1514,1460,1596,1473,1546,1536,1575,1498,1550,1579,1471,1459,1459,1492,1467,1436,1451,1428
2007-03-30,1514,1460,1596,1473,1546,1536,1575,1498,1550,1579,1471,1459,1459,1492,1467,1436,1451,1428
2007-03-31,1514,1460,1596,1473,1546,1536,1575,1498,1550,1579,1471,1459,1459,1492,1467,1436,1451,1428
2007-04-01,1512,1454,1596,1482,1552,1536,1581,1490,1556,1568,1463,1453,1453,1492,1477,1437,1460,1428
2007-04-02,1512,1454,1593,1482,1552,1542,1581,1490,1556,1568,1463,1453,1453,1495,1477,1437,1460,1423
2007-04-03,1512,1454,1593,1482,1552,1542,1581,1490,1556,1568,1463,1453,1453,1495,1477,1437,1460,1423
2007-04-04,1512,1454,1593,1482,1552,1542,1581,1490,1556,1568,1463,1453,1453,1495,1477,1437,1460,1423
