,kashima-antlers,jef-united,urawa-red-diamonds,yokohama-fa-marinos,shimizu-s-pulse,nagoya-grampus-eight,gamba-osaka,jubilo-iwata,kawasaki-frontale,fc-tokyo,omiya-ardija,oita-trinita,albirex-niigata,vissel-kobe,kashiwa-reysol,consadole-sapporo,tokyo-verdy,kyoto-sanga
2008-03-08,1617,1470,1625,1505,1574,1498,1597,1516,1566,1478,1459,1475,1490,1470,1468,1394,1394,1394
2008-03-09,1621,1472,1615,1516,1564,1496,1594,1516,1566,1477,1459,1485,1490,1470,1468,1391,1394,1397
2008-03-10,1621,1472,1615,1516,1564,1496,1594,1507,1562,1477,1468,1485,1481,1470,1477,1391,1398,1397
2008-03-11,1621,1472,1615,1516,1564,1496,1594,1507,1562,1477,1468,1485,1481,1470,1477,1391,1398,1397
2008-03-12,1621,1472,1615,1516,1564,1496,1594,1507,1562,1477,1468,1485,1481,1470,1477,1391,1398,1397
2008-03-13,1621,1472,1615,1516,1564,1496,1594,1507,1562,1477,1468,1485,1481,1470,1477,1391,1398,1397
2008-03-14,1621,1472,1615,1516,1564,1496,1594,1507,1562,1477,1468,1485,1481,1470,1477,1391,1398,1397
2008-03-15,1621,1472,1615,1516,1564,1496,1594,1507,1562,1477,1468,1485,1481,1470,1477,1391,1398,1397
2008-03-16,1621,1467,1604,1521,1570,1506,1584,1517,1552,1485,1468,1493,1473,1480,1469,1386,1398,1397
2008-03-17,1624,1467,1604,1521,1570,1506,1584,1517,1552,1485,1458,1493,1473,1480,1469,1386,1395,1406
2008-03-18,1624,1467,1604,1521,1570,1506,1584,1517,1552,1485,1458,1493,1473,1480,1469,1386,1395,1406
2008-03-19,1624,1467,1604,1521,1570,1506,1584,1517,1552,1485,1458,1493,1473,1480,1469,1386,1395,1406
2008-03-20,1624,1467,1604,1521,1570,1506,1584,1517,1552,1485,1458,1493,1473,1480,1469,1386,1395,1406
2008-03-21,1624,1467,1604,1521,1570,1506,1584,1517,1552,1485,1458,1493,1473,1480,1469,1386,1395,1406
2008-03-22,1624,1467,1604,1521,1570,1506,1584,1517,1552,1485,1458,1493,1473,1480,1469,1386,1395,1406
2008-03-23,1624,1467,1604,1521,1570,1506,1584,1517,1552,1485,1458,1493,1473,1480,1469,1386,1395,1406
2008-03-24,1624,1467,1604,1521,1570,1506,1584,1517,1552,1485,1458,1493,1473,1480,1469,1386,1395,1406
2008-03-25,1624,1467,1604,1521,1570,1506,1584,1517,1552,1485,1458,1493,1473,1480,1469,1386,1395,1406
2008-03-26,1624,1467,1604,1521,1570,1506,1584,1517,1552,1485,1458,1493,1473,1480,1469,1386,1395,1406
2008-03-27,1624,1467,1604,1521,1570,1506,1584,1517,1552,1485,1458,1493,1473,1480,1469,1386,1395,1406
2008-03-28,1624,1467,1604,1521,1570,1506,1584,1517,1552,1485,1458,1493,1473,1480,1469,1386,1395,1406
2008-03-29,1624,1467,1604,1521,1570,1506,1584,1517,1552,1485,1458,1493,1473,1480,1469,1386,1395,1406
2008-03-30,1624,1467,1604,1521,1570,1506,1584,1517,1552,1485,1458,1493,1473,1480,1469,1386,1395,1406
2008-03-31,1630,1460,1609,1516,1567,1514,1588,1508,1558,1484,1461,1486,1468,1489,1459,1396,1390,1408
2008-04-01,1630,1460,1609,1516,1567,1514,1588,1508,1558,1484,1461,1486,1468,1489,1459,1396,1390,1408
2008-04-02,1630,1460,1609,1516,1567,1514,1588,1508,1558,1484,1461,1486,1468,1489,1459,1396,1390,1408
2008-04-03,1635,1461,1616,1523,1560,1521,1594,1513,1563,1476,1454,1480,1463,1489,1466,1391,1385,1401
2008-04-04,1635,1461,1616,1523,1560,1521,1594,1513,1563,1476,1454,1480,1463,1489,1466,1391,1385,1401
2008-04-05,1635,1461,1616,1523,1560,1521,1594,1513,1563,1476,1454,1480,1463,1489,1466,1391,1385,1401
2008-04-06,1639,1457,1622,1515,1553,1529,1601,1508,1551,1482,1463,1471,1463,1489,1466,1385,1385,1413
2008-04-07,1639,1457,1622,1515,1553,1529,1601,1508,1551,1482,1463,1471,1463,1478,1466,1385,1395,1413
2008-04-08,1639,1457,1622,1515,1553,1529,1601,1508,1551,1482,1463,1471,1463,1478,1466,1385,1395,1413
2008-04-09,1639,1457,1622,1515,1553,1529,1601,1508,1551,1482,1463,1471,1463,1478,1466,1385,1395,1413
2008-04-10,1639,1457,1622,1515,1553,1529,1601,1508,1551,1482,1463,1471,1463,1478,1466,1385,1395,1413
2008-04-11,1639,1457,1622,1515,1553,1529,1601,1508,1551,1482,1463,1471,1463,1478,1466,1385,1395,1413
2008-04-12,1639,1457,1622,1515,1553,1529,1601,1508,1551,1482,1463,1471,1463,1478,1466,1385,1395,1413
2008-04-13,1639,1449,1622,1522,1544,1537,1601,1497,1549,1488,1471,1473,1463,1478,1459,1396,1389,1413
2008-04-14,1630,1449,1630,1522,1544,1537,1598,1497,1549,1488,1471,1473,1466,1469,1459,1396,1389,1422
2008-04-15,1630,1449,1630,1522,1544,1537,1598,1497,1549,1488,1471,1473,1466,1469,1459,1396,1389,1422
2008-04-16,1630,1449,1630,1522,1544,1537,1598,1497,1549,1488,1471,1473,1466,1469,1459,1396,1389,1422
2008-04-17,1630,1449,1630,1522,1544,1537,1598,1497,1549,1488,1471,1473,1466,1469,1459,1396,1389,1422
2008-04-18,1630,1449,1630,1522,1544,1537,1598,1497,1549,1488,1471,1473,1466,1469,1459,1396,1389,1422
2008-04-19,1630,1449,1630,1522,1544,1537,1598,1497,1549,1488,1471,1473,1466,1469,1459,1396,1389,1422
2008-04-20,1630,1443,1630,1522,1544,1543,1599,1497,1540,1498,1471,1473,1473,1467,1466,1397,1383,1415
2008-04-21,1630,1443,1627,1522,1544,1543,1599,1496,1540,1498,1474,1474,1473,1467,1466,1397,1383,1415
2008-04-22,1630,1443,1627,1522,1544,1543,1599,1496,1540,1498,1474,1474,1473,1467,1466,1397,1383,1415
2008-04-23,1630,1443,1627,1522,1544,1543,1599,1496,1540,1498,1474,1474,1473,1467,1466,1397,1383,1415
2008-04-24,1630,1443,1627,1522,1544,1543,1599,1496,1540,1498,1474,1474,1473,1467,1466,1397,1383,1415
2008-04-25,1630,1443,1627,1522,1544,1543,1599,1496,1540,1498,1474,1474,1473,1467,1466,1397,1383,1415
2008-04-26,1630,1443,1627,1522,1544,1543,1599,1496,1540,1498,1474,1474,1473,1467,1466,1397,1383,1415
2008-04-27,1630,1436,1630,1513,1551,1532,1599,1503,1546,1491,1474,1483,1480,1467,1459,1391,1394,1412
2008-04-28,1626,1436,1630,1513,1551,1532,1588,1503,1546,1491,1477,1483,1480,1478,1459,1391,1394,1412
2008-04-29,1626,1436,1630,1513,1551,1532,1588,1503,1546,1491,1477,1483,1480,1478,1459,1391,1394,1412
2008-04-30,1626,1430,1634,1519,1557,1524,1588,1509,1554,1499,1477,1475,1478,1478,1453,1388,1396,1406
2008-05-01,1623,1430,1634,1519,1557,1524,1577,1509,1554,1499,1488,1475,1478,1481,1453,1388,1396,1406
2008-05-02,1623,1430,1634,1519,1557,1524,1577,1509,1554,1499,1488,1475,1478,1481,1453,1388,1396,1406
2008-05-03,1623,1430,1634,1519,1557,1524,1577,1509,1554,1499,1488,1475,1478,1481,1453,1388,1396,1406
2008-05-04,1614,1422,1630,1509,1556,1517,1584,1510,1564,1506,1480,1483,1470,1485,1461,1380,1407,1413
2008-05-05,1614,1422,1630,1509,1556,1517,1584,1510,1564,1506,1480,1483,1470,1485,1461,1380,1407,1413
2008-05-06,1614,1422,1630,1509,1556,1517,1584,1510,1564,1506,1480,1483,1470,1485,1461,1380,1407,1413
2008-05-07,1614,1419,1634,1508,1546,1525,1584,1503,1570,1499,1481,1483,1480,1476,1469,1373,1414,1413
2008-05-08,1614,1419,1634,1508,1546,1525,1584,1503,1570,1499,1481,1483,1480,1476,1469,1373,1414,1413
2008-05-09,1614,1419,1634,1508,1546,1525,1584,1503,1570,1499,1481,1483,1480,1476,1469,1373,1414,1413
2008-05-10,1614,1419,1634,1508,1546,1525,1584,1503,1570,1499,1481,1483,1480,1476,1469,1373,1414,1413
2008-05-11,1614,1427,1641,1508,1546,1524,1584,1495,1564,1490,1470,1489,1488,1477,1478,1383,1408,1405
2008-05-12,1604,1427,1641,1510,1555,1524,1582,1495,1564,1490,1470,1489,1488,1477,1478,1383,1408,1405
2008-05-13,1604,1427,1641,1510,1555,1524,1582,1495,1564,1490,1470,1489,1488,1477,1478,1383,1408,1405
2008-05-14,1604,1427,1641,1510,1555,1524,1582,1495,1564,1490,1470,1489,1488,1477,1478,1383,1408,1405
2008-05-15,1604,1427,1641,1510,1555,1524,1582,1495,1564,1490,1470,1489,1488,1477,1478,1383,1408,1405
2008-05-16,1604,1427,1641,1510,1555,1524,1582,1495,1564,1490,1470,1489,1488,1477,1478,1383,1408,1405
2008-05-17,1604,1427,1641,1510,1555,1524,1582,1495,1564,1490,1470,1489,1488,1477,1478,1383,1408,1405
2008-05-18,1601,1436,1631,1499,1555,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1408,1416
2008-05-19,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-05-20,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-05-21,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-05-22,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-05-23,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-05-24,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-05-25,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-05-26,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-05-27,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-05-28,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-05-29,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-05-30,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-05-31,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-01,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-02,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-03,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-04,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-05,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-06,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-07,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-08,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-09,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-10,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-11,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-12,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-13,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-14,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-15,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-16,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-17,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-18,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-19,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-20,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-21,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-22,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-23,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-24,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-25,1601,1436,1631,1499,1544,1529,1592,1487,1554,1498,1480,1480,1488,1477,1481,1378,1419,1416
2008-06-26,1607,1436,1631,1499,1544,1529,1596,1487,1554,1498,1480,1475,1488,1477,1481,1378,1419,1411
2008-06-27,1607,1436,1631,1499,1544,1529,1596,1487,1554,1498,1480,1475,1488,1477,1481,1378,1419,1411
2008-06-28,1607,1436,1631,1499,1544,1529,1596,1487,1554,1498,1480,1475,1488,1477,1481,1378,1419,1411
2008-06-29,1613,1436,1620,1491,1549,1523,1596,1495,1544,1498,1487,1475,1497,1477,1492,1378,1413,1406
2008-06-30,1613,1437,1620,1491,1549,1523,1599,1495,1544,1497,1487,1483,1497,1469,1492,1375,1413,1406
2008-07-01,1613,1437,1620,1491,1549,1523,1599,1495,1544,1497,1487,1483,1497,1469,1492,1375,1413,1406
2008-07-02,1613,1437,1620,1491,1549,1523,1599,1495,1544,1497,1487,1483,1497,1469,1492,1375,1413,1406
2008-07-03,1613,1437,1620,1491,1549,1523,1599,1495,1544,1497,1487,1483,1497,1469,1492,1375,1413,1406
2008-07-04,1613,1437,1620,1491,1549,1523,1599,1495,1544,1497,1487,1483,1497,1469,1492,1375,1413,1406
2008-07-05,1613,1437,1620,1491,1549,1523,1599,1495,1544,1497,1487,1483,1497,1469,1492,1375,1413,1406
2008-07-06,1618,1429,1625,1491,1545,1514,1599,1490,1544,1491,1479,1483,1506,1478,1492,1378,1421,1406
2008-07-07,1618,1429,1625,1484,1545,1514,1589,1490,1551,1491,1479,1481,1506,1478,1503,1378,1421,1408
2008-07-08,1618,1429,1625,1484,1545,1514,1589,1490,1551,1491,1479,1481,1506,1478,1503,1378,1421,1408
2008-07-09,1618,1429,1625,1484,1545,1514,1589,1490,1551,1491,1479,1481,1506,1478,1503,1378,1421,1408
2008-07-10,1618,1429,1625,1484,1545,1514,1589,1490,1551,1491,1479,1481,1506,1478,1503,1378,1421,1408
2008-07-11,1618,1429,1625,1484,1545,1514,1589,1490,1551,1491,1479,1481,1506,1478,1503,1378,1421,1408
2008-07-12,1618,1429,1625,1484,1545,1514,1589,1490,1551,1491,1479,1481,1506,1478,1503,1378,1421,1408
2008-07-13,1618,1429,1614,1484,1536,1522,1596,1497,1544,1491,1471,1492,1506,1487,1495,1378,1413,1416
2008-07-14,1623,1420,1614,1477,1536,1522,1596,1497,1544,1486,1471,1492,1513,1487,1495,1388,1413,1416
2008-07-15,1623,1420,1614,1477,1536,1522,1596,1497,1544,1486,1471,1492,1513,1487,1495,1388,1413,1416
2008-07-16,1623,1420,1614,1477,1536,1522,1596,1497,1544,1486,1471,1492,1513,1487,1495,1388,1413,1416
2008-07-17,1611,1422,1614,1469,1536,1522,1594,1497,1544,1489,1471,1490,1511,1495,1495,1390,1413,1429
2008-07-18,1611,1422,1618,1469,1528,1513,1594,1506,1552,1489,1463,1490,1511,1495,1502,1390,1409,1429
2008-07-19,1611,1422,1618,1469,1528,1513,1594,1506,1552,1489,1463,1490,1511,1495,1502,1390,1409,1429
2008-07-20,1611,1422,1618,1469,1528,1513,1594,1506,1552,1489,1463,1490,1511,1495,1502,1390,1409,1429
2008-07-21,1616,1418,1618,1464,1536,1513,1598,1498,1552,1489,1463,1498,1504,1493,1492,1392,1419,1429
2008-07-22,1616,1418,1608,1464,1536,1520,1598,1498,1561,1487,1457,1498,1504,1493,1492,1392,1419,1430
2008-07-23,1616,1418,1608,1464,1536,1520,1598,1498,1561,1487,1457,1498,1504,1493,1492,1392,1419,1430
2008-07-24,1616,1418,1608,1464,1536,1520,1598,1498,1561,1487,1457,1498,1504,1493,1492,1392,1419,1430
2008-07-25,1616,1418,1608,1464,1536,1520,1598,1498,1561,1487,1457,1498,1504,1493,1492,1392,1419,1430
2008-07-26,1616,1418,1608,1464,1536,1520,1598,1498,1561,1487,1457,1498,1504,1493,1492,1392,1419,1430
2008-07-27,1616,1427,1608,1465,1536,1521,1588,1496,1560,1487,1457,1508,1504,1483,1491,1392,1421,1431
2008-07-28,1616,1427,1609,1465,1534,1521,1588,1496,1560,1487,1458,1508,1509,1483,1491,1387,1421,1431
2008-07-29,1616,1427,1609,1465,1534,1521,1588,1496,1560,1487,1458,1508,1509,1483,1491,1387,1421,1431
2008-07-30,1616,1427,1609,1465,1534,1521,1588,1496,1560,1487,1458,1508,1509,1483,1491,1387,1421,1431
2008-07-31,1616,1427,1609,1465,1534,1521,1588,1496,1560,1487,1458,1508,1509,1483,1491,1387,1421,1431
2008-08-01,1616,1427,1609,1465,1534,1521,1588,1496,1560,1487,1458,1508,1509,1483,1491,1387,1421,1431
2008-08-02,1616,1427,1609,1465,1534,1521,1588,1496,1560,1487,1458,1508,1509,1483,1491,1387,1421,1431
2008-08-03,1616,1427,1609,1465,1534,1521,1588,1496,1560,1487,1458,1508,1509,1483,1491,1387,1421,1431
2008-08-04,1616,1427,1609,1465,1534,1521,1588,1496,1560,1487,1458,1508,1509,1483,1491,1387,1421,1431
2008-08-05,1616,1427,1609,1465,1534,1521,1588,1496,1560,1487,1458,1508,1509,1483,1491,1387,1421,1431
2008-08-06,1616,1427,1609,1465,1534,1521,1588,1496,1560,1487,1458,1508,1509,1483,1491,1387,1421,1431
2008-08-07,1616,1427,1609,1465,1534,1521,1588,1496,1560,1487,1458,1508,1509,1483,1491,1387,1421,1431
2008-08-08,1616,1427,1609,1465,1534,1521,1588,1496,1560,1487,1458,1508,1509,1483,1491,1387,1421,1431
2008-08-09,1616,1427,1609,1465,1534,1521,1588,1496,1560,1487,1458,1508,1509,1483,1491,1387,1421,1431
2008-08-10,1604,1439,1606,1475,1533,1512,1577,1488,1565,1496,1465,1509,1499,1491,1493,1380,1431,1426
2008-08-11,1604,1439,1606,1475,1533,1512,1577,1488,1565,1496,1465,1509,1499,1491,1493,1380,1431,1426
2008-08-12,1604,1439,1606,1475,1533,1512,1577,1488,1565,1496,1465,1509,1499,1491,1493,1380,1431,1426
2008-08-13,1604,1439,1606,1475,1533,1512,1577,1488,1565,1496,1465,1509,1499,1491,1493,1380,1431,1426
2008-08-14,1604,1439,1606,1475,1533,1512,1577,1488,1565,1496,1465,1509,1499,1491,1493,1380,1431,1426
