,kashima-antlers,jef-united,urawa-red-diamonds,yokohama-fa-marinos,shimizu-s-pulse,nagoya-grampus-eight,gamba-osaka,jubilo-iwata,kawasaki-frontale,fc-tokyo,omiya-ardija,oita-trinita,albirex-niigata,vissel-kobe,kashiwa-reysol,kyoto-sanga,sanfrecce-hiroshima,montedio-yamagata
2009-03-07,1615,1468,1570,1515,1575,1539,1549,1465,1580,1519,1463,1524,1477,1491,1477,1424,1369,1369
2009-03-08,1622,1462,1563,1504,1575,1546,1555,1455,1578,1510,1463,1516,1486,1491,1479,1424,1380,1379
2009-03-09,1622,1462,1563,1504,1572,1546,1555,1455,1578,1510,1465,1516,1486,1482,1479,1434,1380,1379
2009-03-10,1622,1462,1563,1504,1572,1546,1555,1455,1578,1510,1465,1516,1486,1482,1479,1434,1380,1379
2009-03-11,1622,1462,1563,1504,1572,1546,1555,1455,1578,1510,1465,1516,1486,1482,1479,1434,1380,1379
2009-03-12,1622,1462,1563,1504,1572,1546,1555,1455,1578,1510,1465,1516,1486,1482,1479,1434,1380,1379
2009-03-13,1622,1462,1563,1504,1572,1546,1555,1455,1578,1510,1465,1516,1486,1482,1479,1434,1380,1379
2009-03-14,1622,1462,1563,1504,1572,1546,1555,1455,1578,1510,1465,1516,1486,1482,1479,1434,1380,1379
2009-03-15,1622,1462,1570,1506,1571,1543,1561,1449,1568,1504,1465,1523,1486,1492,1479,1428,1380,1383
2009-03-16,1611,1462,1570,1506,1571,1543,1561,1449,1568,1504,1472,1523,1497,1492,1479,1428,1374,1383
2009-03-17,1611,1462,1570,1506,1571,1543,1561,1449,1568,1504,1472,1523,1497,1492,1479,1428,1374,1383
2009-03-18,1611,1462,1570,1506,1571,1543,1561,1449,1568,1504,1472,1523,1497,1492,1479,1428,1374,1383
2009-03-19,1611,1462,1570,1506,1571,1543,1561,1449,1568,1504,1472,1523,1497,1492,1479,1428,1374,1383
2009-03-20,1611,1462,1570,1506,1571,1543,1561,1449,1568,1504,1472,1523,1497,1492,1479,1428,1374,1383
2009-03-21,1611,1462,1570,1506,1571,1543,1561,1449,1568,1504,1472,1523,1497,1492,1479,1428,1374,1383
2009-03-22,1611,1462,1567,1505,1571,1543,1561,1452,1568,1509,1472,1522,1498,1492,1480,1428,1374,1378
2009-03-23,1615,1465,1567,1505,1562,1551,1550,1452,1565,1509,1472,1522,1498,1492,1480,1439,1371,1378
2009-03-24,1615,1465,1567,1505,1562,1551,1550,1452,1565,1509,1472,1522,1498,1492,1480,1439,1371,1378
2009-03-25,1615,1465,1567,1505,1562,1551,1550,1452,1565,1509,1472,1522,1498,1492,1480,1439,1371,1378
2009-03-26,1615,1465,1567,1505,1562,1551,1550,1452,1565,1509,1472,1522,1498,1492,1480,1439,1371,1378
2009-03-27,1615,1465,1567,1505,1562,1551,1550,1452,1565,1509,1472,1522,1498,1492,1480,1439,1371,1378
2009-03-28,1615,1465,1567,1505,1562,1551,1550,1452,1565,1509,1472,1522,1498,1492,1480,1439,1371,1378
2009-03-29,1615,1465,1567,1505,1562,1551,1550,1452,1565,1509,1472,1522,1498,1492,1480,1439,1371,1378
2009-03-30,1615,1465,1567,1505,1562,1551,1550,1452,1565,1509,1472,1522,1498,1492,1480,1439,1371,1378
2009-03-31,1615,1465,1567,1505,1562,1551,1550,1452,1565,1509,1472,1522,1498,1492,1480,1439,1371,1378
2009-04-01,1615,1465,1567,1505,1562,1551,1550,1452,1565,1509,1472,1522,1498,1492,1480,1439,1371,1378
2009-04-02,1615,1465,1567,1505,1562,1551,1550,1452,1565,1509,1472,1522,1498,1492,1480,1439,1371,1378
2009-04-03,1615,1465,1567,1505,1562,1551,1550,1452,1565,1509,1472,1522,1498,1492,1480,1439,1371,1378
2009-04-04,1615,1465,1567,1505,1562,1551,1550,1452,1565,1509,1472,1522,1498,1492,1480,1439,1371,1378
2009-04-05,1619,1465,1574,1497,1562,1544,1546,1445,1573,1516,1472,1515,1506,1492,1479,1434,1375,1378
2009-04-06,1619,1455,1574,1497,1569,1544,1546,1445,1573,1516,1472,1515,1506,1485,1479,1434,1375,1388
2009-04-07,1619,1455,1574,1497,1569,1544,1546,1445,1573,1516,1472,1515,1506,1485,1479,1434,1375,1388
2009-04-08,1619,1455,1574,1497,1569,1544,1546,1445,1573,1516,1472,1515,1506,1485,1479,1434,1375,1388
2009-04-09,1619,1455,1574,1497,1569,1544,1546,1445,1573,1516,1472,1515,1506,1485,1479,1434,1375,1388
2009-04-10,1619,1455,1574,1497,1569,1544,1546,1445,1573,1516,1472,1515,1506,1485,1479,1434,1375,1388
2009-04-11,1619,1455,1574,1497,1569,1544,1546,1445,1573,1516,1472,1515,1506,1485,1479,1434,1375,1388
2009-04-12,1619,1454,1574,1505,1569,1544,1546,1445,1573,1516,1472,1504,1496,1477,1469,1444,1385,1398
2009-04-13,1625,1454,1581,1505,1577,1536,1536,1445,1565,1510,1482,1504,1496,1477,1469,1444,1385,1398
2009-04-14,1625,1454,1581,1505,1577,1536,1536,1445,1565,1510,1482,1504,1496,1477,1469,1444,1385,1398
2009-04-15,1625,1454,1581,1505,1577,1536,1536,1445,1565,1510,1482,1504,1496,1477,1469,1444,1385,1398
2009-04-16,1625,1454,1581,1505,1577,1536,1536,1445,1565,1510,1482,1504,1496,1477,1469,1444,1385,1398
2009-04-17,1625,1454,1581,1505,1577,1536,1536,1445,1565,1510,1482,1504,1496,1477,1469,1444,1385,1398
2009-04-18,1625,1454,1581,1505,1577,1536,1541,1445,1565,1510,1482,1504,1496,1477,1469,1444,1385,1393
2009-04-19,1622,1464,1586,1507,1577,1543,1541,1445,1571,1501,1476,1504,1494,1477,1463,1439,1388,1393
2009-04-20,1622,1464,1586,1507,1566,1543,1541,1456,1571,1501,1476,1496,1494,1486,1463,1439,1388,1393
2009-04-21,1622,1464,1586,1507,1566,1543,1541,1456,1571,1501,1476,1496,1494,1486,1463,1439,1388,1393
2009-04-22,1622,1464,1586,1507,1566,1543,1541,1456,1571,1501,1476,1496,1494,1486,1463,1439,1388,1393
2009-04-23,1622,1464,1586,1507,1566,1543,1541,1456,1571,1501,1476,1496,1494,1486,1463,1439,1388,1393
2009-04-24,1622,1464,1586,1507,1566,1543,1541,1456,1571,1501,1476,1496,1494,1486,1463,1439,1388,1393
2009-04-25,1622,1464,1586,1507,1566,1543,1541,1456,1571,1501,1476,1496,1494,1486,1463,1439,1388,1393
2009-04-26,1617,1458,1592,1507,1563,1543,1541,1464,1571,1509,1468,1488,1502,1486,1465,1431,1388,1398
2009-04-27,1617,1458,1592,1500,1563,1550,1532,1464,1567,1509,1468,1488,1502,1495,1465,1431,1392,1398
2009-04-28,1617,1458,1592,1500,1563,1550,1532,1464,1567,1509,1468,1488,1502,1495,1465,1431,1392,1398
2009-04-29,1617,1458,1592,1500,1563,1550,1532,1464,1567,1509,1468,1488,1502,1495,1465,1431,1392,1398
2009-04-30,1623,1459,1591,1507,1564,1547,1539,1457,1572,1501,1459,1479,1501,1490,1473,1426,1395,1408
2009-05-01,1623,1459,1591,1507,1564,1547,1539,1457,1572,1501,1459,1479,1501,1490,1473,1426,1395,1408
2009-05-02,1623,1459,1591,1507,1564,1547,1539,1457,1572,1501,1459,1479,1501,1490,1473,1426,1395,1408
2009-05-03,1627,1455,1597,1517,1561,1552,1546,1466,1563,1508,1452,1473,1495,1481,1472,1421,1399,1409
2009-05-04,1627,1455,1597,1517,1561,1552,1546,1466,1563,1508,1452,1473,1495,1481,1472,1421,1399,1409
2009-05-05,1627,1455,1597,1517,1561,1552,1546,1466,1563,1508,1452,1473,1495,1481,1472,1421,1399,1409
2009-05-06,1627,1457,1602,1507,1558,1552,1546,1466,1563,1498,1460,1464,1494,1488,1467,1431,1409,1403
2009-05-07,1627,1457,1602,1507,1558,1552,1546,1466,1563,1498,1460,1464,1494,1488,1467,1431,1409,1403
2009-05-08,1627,1457,1602,1507,1558,1552,1546,1466,1563,1498,1460,1464,1494,1488,1467,1431,1409,1403
2009-05-09,1627,1457,1602,1507,1558,1552,1546,1466,1563,1498,1460,1464,1494,1488,1467,1431,1409,1403
2009-05-10,1627,1464,1602,1514,1558,1552,1546,1474,1563,1496,1452,1457,1500,1488,1467,1433,1402,1397
2009-05-11,1634,1464,1593,1514,1552,1550,1552,1474,1571,1496,1452,1457,1500,1489,1461,1433,1402,1397
2009-05-12,1634,1464,1593,1514,1552,1550,1552,1474,1571,1496,1452,1457,1500,1489,1461,1433,1402,1397
2009-05-13,1634,1464,1593,1514,1552,1550,1552,1474,1571,1496,1452,1457,1500,1489,1461,1433,1402,1397
2009-05-14,1634,1464,1593,1514,1552,1550,1552,1474,1571,1496,1452,1457,1500,1489,1461,1433,1402,1397
2009-05-15,1634,1464,1593,1514,1552,1550,1552,1474,1571,1496,1452,1457,1500,1489,1461,1433,1402,1397
2009-05-16,1634,1464,1593,1514,1552,1550,1552,1474,1571,1496,1452,1457,1500,1489,1461,1433,1402,1397
2009-05-17,1638,1464,1592,1505,1558,1548,1553,1468,1577,1505,1454,1451,1500,1489,1456,1433,1410,1389
2009-05-18,1638,1455,1592,1505,1558,1548,1553,1468,1577,1505,1454,1451,1508,1481,1456,1442,1410,1389
2009-05-19,1638,1455,1592,1505,1558,1548,1553,1468,1577,1505,1454,1451,1508,1481,1456,1442,1410,1389
2009-05-20,1638,1455,1592,1505,1558,1548,1553,1468,1577,1505,1454,1451,1508,1481,1456,1442,1410,1389
2009-05-21,1638,1455,1592,1505,1558,1548,1553,1468,1577,1505,1454,1451,1508,1481,1456,1442,1410,1389
2009-05-22,1638,1455,1592,1505,1558,1548,1553,1468,1577,1505,1454,1451,1508,1481,1456,1442,1410,1389
2009-05-23,1638,1455,1592,1505,1558,1548,1553,1468,1577,1505,1454,1451,1508,1481,1456,1442,1410,1389
2009-05-24,1638,1457,1592,1504,1564,1548,1553,1468,1577,1505,1454,1442,1501,1489,1449,1440,1419,1390
2009-05-25,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-05-26,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-05-27,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-05-28,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-05-29,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-05-30,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-05-31,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-01,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-02,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-03,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-04,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-05,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-06,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-07,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-08,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-09,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-10,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-11,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-12,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-13,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-14,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-15,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-16,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-17,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-18,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-19,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-20,1644,1457,1589,1504,1564,1538,1547,1478,1584,1498,1457,1442,1501,1489,1449,1440,1419,1390
2009-06-21,1648,1466,1589,1504,1569,1529,1538,1474,1589,1505,1465,1437,1510,1489,1442,1433,1419,1386
2009-06-22,1648,1466,1579,1514,1569,1529,1538,1474,1589,1505,1465,1437,1510,1479,1442,1433,1429,1386
2009-06-23,1648,1466,1579,1514,1569,1529,1538,1474,1589,1505,1465,1437,1510,1479,1442,1433,1429,1386
2009-06-24,1648,1466,1579,1514,1569,1529,1538,1474,1589,1505,1465,1437,1510,1479,1442,1433,1429,1386
2009-06-25,1648,1466,1579,1514,1569,1529,1538,1474,1589,1505,1465,1437,1510,1479,1442,1433,1429,1386
2009-06-26,1648,1466,1579,1514,1569,1529,1538,1474,1589,1505,1465,1437,1510,1479,1442,1433,1429,1386
2009-06-27,1648,1466,1579,1514,1569,1529,1538,1474,1589,1505,1465,1437,1510,1479,1442,1433,1429,1386
2009-06-28,1648,1458,1585,1514,1559,1529,1538,1465,1589,1515,1473,1437,1510,1473,1451,1441,1421,1386
2009-06-29,1652,1458,1585,1507,1559,1520,1545,1465,1592,1515,1473,1434,1518,1473,1451,1441,1421,1382
2009-06-30,1652,1458,1585,1507,1559,1520,1545,1465,1592,1515,1473,1434,1518,1473,1451,1441,1421,1382
2009-07-01,1652,1458,1585,1507,1559,1520,1545,1465,1592,1515,1473,1434,1518,1473,1451,1441,1421,1382
2009-07-02,1657,1458,1585,1507,1559,1515,1539,1465,1599,1515,1473,1434,1518,1473,1451,1441,1421,1382
2009-07-03,1657,1458,1585,1507,1559,1515,1539,1465,1599,1515,1473,1434,1518,1473,1451,1441,1421,1382
2009-07-04,1657,1458,1585,1507,1559,1515,1539,1465,1599,1515,1473,1434,1518,1473,1451,1441,1421,1382
2009-07-05,1657,1466,1589,1506,1557,1515,1539,1465,1599,1522,1474,1426,1525,1466,1444,1443,1421,1378
2009-07-06,1656,1466,1589,1506,1557,1524,1530,1472,1601,1522,1474,1426,1525,1466,1444,1443,1414,1378
2009-07-07,1656,1466,1589,1506,1557,1524,1530,1472,1601,1522,1474,1426,1525,1466,1444,1443,1414,1378
2009-07-08,1656,1466,1589,1506,1557,1524,1530,1472,1601,1522,1474,1426,1525,1466,1444,1443,1414,1378
2009-07-09,1656,1466,1589,1506,1557,1524,1530,1472,1601,1522,1474,1426,1525,1466,1444,1443,1414,1378
2009-07-10,1656,1466,1589,1506,1557,1524,1530,1472,1601,1522,1474,1426,1525,1466,1444,1443,1414,1378
2009-07-11,1656,1466,1589,1506,1557,1524,1530,1472,1601,1522,1474,1426,1525,1466,1444,1443,1414,1378
2009-07-12,1660,1466,1593,1495,1564,1524,1523,1472,1599,1522,1470,1426,1526,1466,1444,1443,1409,1389
2009-07-13,1660,1466,1593,1495,1564,1516,1523,1479,1599,1530,1470,1419,1526,1466,1452,1435,1409,1389
2009-07-14,1660,1466,1593,1495,1564,1516,1523,1479,1599,1530,1470,1419,1526,1466,1452,1435,1409,1389
2009-07-15,1660,1466,1593,1495,1564,1516,1523,1479,1599,1530,1470,1419,1526,1466,1452,1435,1409,1389
2009-07-16,1660,1466,1593,1495,1564,1516,1523,1479,1599,1530,1470,1419,1526,1466,1452,1435,1409,1389
2009-07-17,1660,1466,1593,1495,1564,1516,1523,1479,1599,1530,1470,1419,1526,1466,1452,1435,1409,1389
2009-07-18,1660,1466,1593,1495,1564,1516,1523,1479,1599,1530,1470,1419,1526,1466,1452,1435,1409,1389
2009-07-19,1658,1466,1581,1496,1566,1514,1523,1479,1596,1536,1463,1431,1526,1469,1452,1437,1409,1389
2009-07-20,1658,1457,1581,1496,1566,1514,1529,1469,1596,1536,1463,1431,1526,1469,1446,1437,1419,1399
2009-07-21,1658,1457,1581,1496,1566,1514,1529,1469,1596,1536,1463,1431,1526,1469,1446,1437,1419,1399
2009-07-22,1658,1457,1581,1496,1566,1514,1529,1469,1596,1536,1463,1431,1526,1469,1446,1437,1419,1399
2009-07-23,1658,1457,1581,1496,1566,1514,1529,1469,1596,1536,1463,1431,1526,1469,1446,1437,1419,1399
2009-07-24,1658,1457,1581,1496,1566,1514,1529,1469,1596,1536,1463,1431,1526,1469,1446,1437,1419,1399
2009-07-25,1658,1457,1581,1496,1566,1514,1529,1469,1596,1536,1463,1431,1526,1469,1446,1437,1419,1399
2009-07-26,1653,1451,1572,1496,1572,1523,1535,1469,1596,1534,1471,1425,1526,1461,1450,1437,1421,1399
2009-07-27,1653,1451,1572,1495,1572,1523,1535,1469,1585,1534,1471,1425,1523,1461,1450,1448,1421,1402
2009-07-28,1653,1451,1572,1495,1572,1523,1535,1469,1585,1534,1471,1425,1523,1461,1450,1448,1421,1402
2009-07-29,1653,1451,1572,1495,1572,1523,1535,1469,1585,1534,1471,1425,1523,1461,1450,1448,1421,1402
2009-07-30,1653,1451,1572,1495,1572,1523,1535,1469,1585,1534,1471,1425,1523,1461,1450,1448,1421,1402
2009-07-31,1653,1451,1572,1495,1572,1523,1535,1469,1585,1534,1471,1425,1523,1461,1450,1448,1421,1402
2009-08-01,1653,1451,1572,1495,1572,1523,1535,1469,1585,1534,1471,1425,1523,1461,1450,1448,1421,1402
2009-08-02,1641,1443,1572,1502,1572,1513,1535,1477,1591,1527,1472,1435,1522,1461,1450,1442,1434,1402
2009-08-03,1641,1443,1564,1502,1580,1513,1532,1477,1591,1527,1472,1435,1522,1469,1442,1442,1434,1405
2009-08-04,1641,1443,1564,1502,1580,1513,1532,1477,1591,1527,1472,1435,1522,1469,1442,1442,1434,1405
2009-08-05,1641,1443,1564,1502,1580,1513,1532,1477,1591,1527,1472,1435,1522,1469,1442,1442,1434,1405
2009-08-06,1641,1443,1564,1502,1580,1513,1532,1477,1591,1527,1472,1435,1522,1469,1442,1442,1434,1405
2009-08-07,1641,1443,1564,1502,1580,1513,1532,1477,1591,1527,1472,1435,1522,1469,1442,1442,1434,1405
2009-08-08,1641,1443,1564,1502,1580,1513,1532,1477,1591,1527,1472,1435,1522,1469,1442,1442,1434,1405
2009-08-09,1641,1443,1564,1502,1580,1513,1532,1477,1591,1527,1472,1435,1522,1469,1442,1442,1434,1405
2009-08-10,1641,1443,1564,1502,1580,1513,1532,1477,1591,1527,1472,1435,1522,1469,1442,1442,1434,1405
2009-08-11,1641,1443,1564,1502,1580,1513,1532,1477,1591,1527,1472,1435,1522,1469,1442,1442,1434,1405
2009-08-12,1641,1443,1564,1502,1580,1513,1532,1477,1591,1527,1472,1435,1522,1469,1442,1442,1434,1405
2009-08-13,1641,1443,1564,1502,1580,1513,1532,1477,1591,1527,1472,1435,1522,1469,1442,1442,1434,1405
2009-08-14,1641,1443,1564,1502,1580,1513,1532,1477,1591,1527,1472,1435,1522,1469,1442,1442,1434,1405
2009-08-15,1641,1443,1564,1502,1580,1513,1532,1477,1591,1527,1472,1435,1522,1469,1442,1442,1434,1405
2009-08-16,1645,1443,1555,1502,1580,1507,1541,1477,1598,1527,1472,1432,1522,1468,1442,1449,1435,1398
2009-08-17,1645,1443,1555,1503,1578,1507,1541,1477,1598,1526,1472,1432,1523,1468,1442,1449,1435,1398
2009-08-18,1645,1443,1555,1503,1578,1507,1541,1477,1598,1526,1472,1432,1523,1468,1442,1449,1435,1398
2009-08-19,1645,1443,1555,1503,1578,1507,1541,1477,1598,1526,1472,1432,1523,1468,1442,1449,1435,1398
2009-08-20,1633,1437,1545,1510,1584,1513,1548,1488,1587,1515,1465,1424,1515,1480,1453,1444,1443,1408
2009-08-21,1633,1437,1545,1510,1584,1513,1548,1488,1587,1515,1465,1424,1515,1480,1453,1444,1443,1408
2009-08-22,1633,1437,1545,1510,1584,1513,1548,1488,1587,1515,1465,1424,1515,1480,1453,1444,1443,1408
2009-08-23,1633,1437,1534,1509,1589,1513,1548,1482,1587,1515,1464,1424,1506,1480,1454,1453,1453,1408
2009-08-24,1638,1437,1534,1509,1589,1522,1539,1482,1591,1510,1464,1424,1506,1480,1454,1453,1453,1404
2009-08-25,1638,1437,1534,1509,1589,1522,1539,1482,1591,1510,1464,1417,1506,1487,1454,1453,1453,1404
2009-08-26,1638,1437,1534,1509,1589,1522,1539,1482,1591,1510,1464,1417,1506,1487,1454,1453,1453,1404
2009-08-27,1638,1437,1534,1509,1589,1522,1539,1482,1591,1510,1464,1417,1506,1487,1454,1453,1453,1404
2009-08-28,1638,1437,1534,1509,1589,1522,1539,1482,1591,1510,1464,1417,1506,1487,1454,1453,1453,1404
2009-08-29,1638,1437,1534,1509,1589,1522,1539,1482,1591,1510,1464,1417,1506,1487,1454,1453,1453,1404
2009-08-30,1627,1439,1525,1507,1589,1530,1546,1475,1591,1516,1476,1411,1498,1496,1454,1453,1453,1404
2009-08-31,1627,1439,1525,1507,1589,1530,1546,1475,1591,1516,1476,1411,1498,1496,1454,1453,1460,1397
2009-09-01,1627,1439,1525,1507,1589,1530,1546,1475,1591,1516,1476,1411,1498,1496,1454,1453,1460,1397
2009-09-02,1627,1439,1525,1507,1589,1530,1546,1475,1591,1516,1476,1411,1498,1496,1454,1453,1460,1397
2009-09-03,1627,1439,1525,1507,1589,1530,1546,1475,1591,1516,1476,1411,1498,1496,1454,1453,1460,1397
2009-09-04,1627,1439,1525,1507,1589,1530,1546,1475,1591,1516,1476,1411,1498,1496,1454,1453,1460,1397
2009-09-05,1627,1439,1525,1507,1589,1530,1546,1475,1591,1516,1476,1411,1498,1496,1454,1453,1460,1397
2009-09-06,1627,1439,1525,1507,1589,1530,1546,1475,1591,1516,1476,1411,1498,1496,1454,1453,1460,1397
2009-09-07,1627,1439,1525,1507,1589,1530,1546,1475,1591,1516,1476,1411,1498,1496,1454,1453,1460,1397
2009-09-08,1627,1439,1525,1507,1589,1530,1546,1475,1591,1516,1476,1411,1498,1496,1454,1453,1460,1397
2009-09-09,1627,1439,1525,1507,1589,1530,1546,1475,1591,1516,1476,1411,1498,1496,1454,1453,1460,1397
2009-09-10,1627,1439,1525,1507,1589,1530,1546,1475,1591,1516,1476,1411,1498,1496,1454,1453,1460,1397
2009-09-11,1627,1439,1525,1507,1589,1530,1546,1475,1591,1516,1476,1411,1498,1496,1454,1453,1460,1397
2009-09-12,1627,1439,1525,1507,1589,1530,1546,1475,1591,1516,1476,1411,1498,1496,1454,1453,1460,1397
2009-09-13,1627,1432,1525,1498,1595,1520,1553,1475,1591,1507,1471,1411,1505,1489,1464,1463,1469,1397
2009-09-14,1627,1432,1530,1498,1595,1520,1553,1466,1591,1507,1471,1421,1505,1489,1464,1463,1469,1392
2009-09-15,1627,1432,1530,1498,1595,1520,1553,1466,1591,1507,1471,1421,1505,1489,1464,1463,1469,1392
2009-09-16,1627,1432,1530,1498,1595,1520,1553,1466,1591,1507,1471,1421,1505,1489,1464,1463,1469,1392
2009-09-17,1627,1432,1530,1498,1595,1520,1553,1466,1591,1507,1471,1421,1505,1489,1464,1463,1469,1392
2009-09-18,1627,1432,1530,1498,1595,1520,1553,1466,1591,1507,1471,1421,1505,1489,1464,1463,1469,1392
2009-09-19,1627,1432,1530,1498,1595,1520,1553,1466,1591,1507,1471,1421,1505,1489,1464,1463,1469,1392
2009-09-20,1616,1432,1540,1509,1599,1527,1552,1473,1582,1508,1464,1422,1503,1489,1464,1455,1469,1388
