,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,shimizu-s-pulse,nagoya-grampus-eight,gamba-osaka,jubilo-iwata,kawasaki-frontale,fc-tokyo,omiya-ardija,albirex-niigata,vissel-kobe,kyoto-sanga,sanfrecce-hiroshima,montedio-yamagata,vegalta-sendai,cerezo-osaka,shonan-bellmare
2010-03-06,1612,1532,1516,1551,1531,1574,1456,1602,1527,1461,1497,1467,1440,1486,1411,1443,1443,1443
2010-03-07,1618,1526,1508,1550,1540,1565,1448,1608,1534,1461,1491,1467,1440,1488,1411,1451,1443,1442
2010-03-08,1618,1526,1508,1550,1540,1565,1448,1608,1534,1469,1491,1474,1433,1488,1411,1451,1435,1442
2010-03-09,1618,1526,1508,1550,1540,1565,1448,1608,1534,1469,1491,1474,1433,1488,1411,1451,1435,1442
2010-03-10,1618,1526,1508,1550,1540,1565,1448,1608,1534,1469,1491,1474,1433,1488,1411,1451,1435,1442
2010-03-11,1618,1526,1508,1550,1540,1565,1448,1608,1534,1469,1491,1474,1433,1488,1411,1451,1435,1442
2010-03-12,1618,1526,1508,1550,1540,1565,1448,1608,1534,1469,1491,1474,1433,1488,1411,1451,1435,1442
2010-03-13,1618,1526,1508,1550,1540,1565,1448,1608,1534,1469,1491,1474,1433,1488,1411,1451,1435,1442
2010-03-14,1618,1526,1515,1555,1533,1565,1449,1614,1534,1460,1490,1474,1433,1488,1406,1460,1435,1436
2010-03-15,1614,1534,1515,1555,1533,1562,1449,1614,1526,1460,1490,1466,1436,1495,1406,1460,1438,1436
2010-03-16,1614,1534,1515,1555,1533,1562,1449,1614,1526,1460,1490,1466,1436,1495,1406,1460,1438,1436
2010-03-17,1614,1534,1515,1555,1533,1562,1449,1614,1526,1460,1490,1466,1436,1495,1406,1460,1438,1436
2010-03-18,1614,1534,1515,1555,1533,1562,1449,1614,1526,1460,1490,1466,1436,1495,1406,1460,1438,1436
2010-03-19,1614,1534,1515,1555,1533,1562,1449,1614,1526,1460,1490,1466,1436,1495,1406,1460,1438,1436
2010-03-20,1614,1534,1515,1555,1533,1562,1449,1614,1526,1460,1490,1466,1436,1495,1406,1460,1438,1436
2010-03-21,1619,1534,1525,1561,1533,1560,1449,1604,1524,1455,1492,1460,1445,1502,1406,1451,1440,1429
2010-03-22,1619,1531,1525,1561,1540,1560,1443,1604,1524,1455,1492,1460,1445,1502,1409,1451,1440,1429
2010-03-23,1619,1531,1525,1561,1540,1560,1443,1604,1524,1455,1492,1460,1445,1502,1409,1451,1440,1429
2010-03-24,1619,1531,1525,1561,1540,1560,1443,1604,1524,1455,1492,1460,1445,1502,1409,1451,1440,1429
2010-03-25,1619,1531,1525,1561,1540,1560,1443,1604,1524,1455,1492,1460,1445,1502,1409,1451,1440,1429
2010-03-26,1619,1531,1525,1561,1540,1560,1443,1604,1524,1455,1492,1460,1445,1502,1409,1451,1440,1429
2010-03-27,1619,1531,1525,1561,1540,1560,1443,1604,1524,1455,1492,1460,1445,1502,1409,1451,1440,1429
2010-03-28,1623,1537,1524,1562,1540,1560,1435,1603,1524,1455,1482,1462,1453,1502,1405,1451,1434,1438
2010-03-29,1623,1537,1524,1562,1540,1558,1435,1603,1531,1449,1482,1462,1453,1502,1405,1453,1434,1438
2010-03-30,1623,1537,1524,1562,1540,1558,1435,1603,1531,1449,1482,1462,1453,1502,1405,1453,1434,1438
2010-03-31,1623,1537,1524,1562,1540,1558,1435,1603,1531,1449,1482,1462,1453,1502,1405,1453,1434,1438
2010-04-01,1623,1537,1524,1562,1540,1558,1435,1603,1531,1449,1482,1462,1453,1502,1405,1453,1434,1438
2010-04-02,1623,1537,1524,1562,1540,1558,1435,1603,1531,1449,1482,1462,1453,1502,1405,1453,1434,1438
2010-04-03,1623,1537,1524,1562,1540,1558,1435,1603,1531,1449,1482,1462,1453,1502,1405,1453,1434,1438
2010-04-04,1623,1543,1516,1569,1546,1558,1435,1603,1531,1450,1481,1456,1444,1492,1416,1453,1443,1433
2010-04-05,1611,1543,1516,1569,1546,1547,1446,1610,1524,1450,1481,1456,1444,1492,1416,1465,1443,1433
2010-04-06,1611,1543,1516,1569,1546,1547,1446,1610,1524,1450,1481,1456,1444,1492,1416,1465,1443,1433
2010-04-07,1611,1543,1516,1569,1546,1547,1446,1610,1524,1450,1481,1456,1444,1492,1416,1465,1443,1433
2010-04-08,1611,1543,1516,1569,1546,1547,1446,1610,1524,1450,1481,1456,1444,1492,1416,1465,1443,1433
2010-04-09,1611,1543,1516,1569,1546,1547,1446,1610,1524,1450,1481,1456,1444,1492,1416,1465,1443,1433
