,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,shimizu-s-pulse,nagoya-grampus-eight,gamba-osaka,jubilo-iwata,kawasaki-frontale,omiya-ardija,albirex-niigata,vissel-kobe,sanfrecce-hiroshima,montedio-yamagata,vegalta-sendai,cerezo-osaka,kashiwa-reysol,ventforet-kofu,avispa-fukuoka
2011-03-05,1603,1509,1515,1539,1599,1594,1481,1569,1473,1515,1468,1509,1444,1449,1538,1395,1395,1395
2011-03-06,1603,1509,1517,1528,1597,1601,1487,1574,1473,1521,1468,1508,1439,1450,1532,1406,1389,1390
2011-03-07,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-08,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-09,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-10,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-11,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-12,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-13,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-14,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-15,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-16,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-17,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-18,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-19,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-20,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-21,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-22,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-23,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-24,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-25,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-26,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-27,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-28,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-29,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-30,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-03-31,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-04-01,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-04-02,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-04-03,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-04-04,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-04-05,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-04-06,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-04-07,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-04-08,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-04-09,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-04-10,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-04-11,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-04-12,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-04-13,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-04-14,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
2011-04-15,1600,1500,1517,1528,1597,1601,1487,1574,1476,1521,1477,1508,1439,1450,1532,1406,1389,1390
