,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,shimizu-s-pulse,nagoya-grampus-eight,kawasaki-frontale,omiya-ardija,albirex-niigata,sanfrecce-hiroshima,vegalta-sendai,cerezo-osaka,kashiwa-reysol,fc-tokyo,sagan-tosu,ventforet-kofu,gamba-osaka,vissel-kobe,tokushima-vortis
2014-03-01,1554,1537,1569,1512,1536,1566,1457,1525,1585,1512,1547,1524,1498,1493,1446,1376,1376,1376
2014-03-02,1560,1541,1569,1521,1528,1566,1457,1533,1592,1505,1540,1524,1499,1498,1440,1372,1376,1371
2014-03-03,1560,1541,1575,1521,1528,1562,1452,1533,1592,1505,1540,1524,1499,1498,1440,1372,1380,1371
2014-03-04,1560,1541,1575,1521,1528,1562,1452,1533,1592,1505,1540,1524,1499,1498,1440,1372,1380,1371
2014-03-05,1560,1541,1575,1521,1528,1562,1452,1533,1592,1505,1540,1524,1499,1498,1440,1372,1380,1371
2014-03-06,1560,1541,1575,1521,1528,1562,1452,1533,1592,1505,1540,1524,1499,1498,1440,1372,1380,1371
2014-03-07,1560,1541,1575,1521,1528,1562,1452,1533,1592,1505,1540,1524,1499,1498,1440,1372,1380,1371
2014-03-08,1560,1541,1575,1521,1528,1562,1452,1533,1592,1505,1540,1524,1499,1498,1440,1372,1380,1371
2014-03-09,1566,1532,1582,1514,1534,1554,1446,1521,1599,1498,1544,1521,1498,1507,1442,1383,1383,1367
2014-03-10,1566,1532,1582,1514,1534,1554,1446,1521,1599,1498,1544,1521,1498,1507,1442,1383,1383,1367
2014-03-11,1566,1532,1582,1514,1534,1554,1446,1521,1599,1498,1544,1521,1498,1507,1442,1383,1383,1367
2014-03-12,1566,1532,1582,1514,1534,1554,1446,1521,1599,1498,1544,1521,1498,1507,1442,1383,1383,1367
2014-03-13,1566,1532,1582,1514,1534,1554,1446,1521,1599,1498,1544,1521,1498,1507,1442,1383,1383,1367
2014-03-14,1566,1532,1582,1514,1534,1554,1446,1521,1599,1498,1544,1521,1498,1507,1442,1383,1383,1367
2014-03-15,1566,1532,1582,1514,1534,1554,1446,1521,1599,1498,1544,1521,1498,1507,1442,1383,1383,1367
2014-03-16,1573,1542,1585,1507,1542,1544,1456,1520,1589,1495,1552,1513,1487,1501,1443,1386,1394,1363
2014-03-17,1573,1542,1585,1507,1542,1544,1456,1520,1589,1495,1552,1513,1487,1501,1443,1386,1394,1363
2014-03-18,1573,1542,1585,1507,1542,1544,1456,1520,1589,1495,1552,1513,1487,1501,1443,1386,1394,1363
2014-03-19,1573,1542,1585,1507,1542,1544,1456,1520,1589,1495,1552,1513,1487,1501,1443,1386,1394,1363
2014-03-20,1573,1542,1585,1507,1542,1544,1456,1520,1589,1495,1552,1513,1487,1501,1443,1386,1394,1363
2014-03-21,1573,1542,1585,1507,1542,1544,1456,1520,1589,1495,1552,1513,1487,1501,1443,1386,1394,1363
2014-03-22,1573,1542,1585,1507,1542,1544,1456,1520,1589,1495,1552,1513,1487,1501,1443,1386,1394,1363
2014-03-23,1573,1542,1585,1507,1542,1544,1456,1520,1589,1495,1552,1513,1487,1501,1443,1386,1394,1363
2014-03-24,1564,1541,1574,1507,1546,1551,1465,1527,1585,1487,1560,1518,1480,1493,1455,1390,1389,1358
2014-03-25,1564,1541,1574,1507,1546,1551,1465,1527,1585,1487,1560,1518,1480,1493,1455,1390,1389,1358
2014-03-26,1564,1541,1574,1507,1546,1551,1465,1527,1585,1487,1560,1518,1480,1493,1455,1390,1389,1358
2014-03-27,1564,1541,1574,1507,1546,1551,1465,1527,1585,1487,1560,1518,1480,1493,1455,1390,1389,1358
2014-03-28,1564,1541,1574,1507,1546,1551,1465,1527,1585,1487,1560,1518,1480,1493,1455,1390,1389,1358
2014-03-29,1564,1541,1574,1507,1539,1558,1465,1527,1585,1487,1560,1518,1480,1493,1455,1390,1389,1358
2014-03-30,1573,1530,1566,1499,1539,1558,1466,1528,1589,1486,1559,1516,1489,1499,1455,1384,1400,1355
2014-03-31,1573,1530,1566,1499,1539,1558,1466,1528,1589,1486,1559,1516,1489,1499,1455,1384,1400,1355
2014-04-01,1573,1530,1566,1499,1539,1558,1466,1528,1589,1486,1559,1516,1489,1499,1455,1384,1400,1355
2014-04-02,1573,1530,1566,1499,1539,1558,1466,1528,1589,1486,1559,1516,1489,1499,1455,1384,1400,1355
2014-04-03,1573,1530,1566,1499,1539,1558,1466,1528,1589,1486,1559,1516,1489,1499,1455,1384,1400,1355
2014-04-04,1573,1530,1566,1499,1539,1558,1466,1528,1589,1486,1559,1516,1489,1499,1455,1384,1400,1355
2014-04-05,1573,1530,1566,1499,1539,1558,1466,1528,1589,1486,1559,1516,1489,1499,1455,1384,1400,1355
2014-04-06,1573,1530,1566,1499,1539,1558,1466,1528,1589,1486,1559,1516,1489,1499,1455,1384,1400,1355
2014-04-07,1577,1537,1565,1506,1532,1562,1457,1529,1596,1479,1550,1525,1497,1491,1448,1380,1410,1351
2014-04-08,1577,1537,1565,1506,1532,1562,1457,1529,1596,1479,1550,1525,1497,1491,1448,1380,1410,1351
2014-04-09,1577,1537,1565,1506,1532,1562,1457,1529,1596,1479,1550,1525,1497,1491,1448,1380,1410,1351
2014-04-10,1577,1537,1565,1506,1532,1562,1457,1529,1596,1479,1550,1525,1497,1491,1448,1380,1410,1351
2014-04-11,1577,1537,1565,1506,1532,1562,1457,1529,1596,1479,1550,1525,1497,1491,1448,1380,1410,1351
2014-04-12,1577,1537,1565,1506,1532,1561,1457,1529,1596,1479,1550,1526,1497,1491,1448,1380,1410,1351
2014-04-13,1568,1545,1555,1513,1524,1561,1450,1538,1601,1489,1547,1526,1491,1498,1441,1384,1417,1344
2014-04-14,1568,1545,1555,1513,1524,1561,1450,1538,1601,1489,1547,1526,1491,1498,1441,1384,1417,1344
2014-04-15,1568,1545,1555,1513,1524,1561,1450,1538,1601,1489,1547,1526,1491,1498,1441,1384,1417,1344
2014-04-16,1568,1545,1555,1513,1524,1561,1450,1538,1601,1489,1547,1526,1491,1498,1441,1384,1417,1344
2014-04-17,1568,1545,1555,1513,1524,1561,1450,1538,1601,1489,1547,1526,1491,1498,1441,1384,1417,1344
2014-04-18,1568,1545,1555,1513,1524,1561,1450,1538,1601,1489,1547,1526,1491,1498,1441,1384,1417,1344
2014-04-19,1568,1545,1555,1513,1524,1561,1450,1538,1601,1489,1547,1526,1491,1498,1441,1384,1417,1344
2014-04-20,1556,1553,1554,1517,1514,1553,1440,1538,1601,1481,1538,1527,1501,1505,1451,1393,1428,1340
2014-04-21,1556,1553,1554,1517,1514,1553,1440,1539,1600,1481,1538,1527,1501,1505,1451,1393,1428,1340
2014-04-22,1556,1553,1554,1517,1514,1553,1440,1539,1600,1481,1538,1527,1501,1505,1451,1393,1428,1340
2014-04-23,1556,1553,1554,1517,1514,1553,1440,1539,1600,1481,1538,1527,1501,1505,1451,1393,1428,1340
2014-04-24,1556,1553,1554,1517,1514,1553,1440,1539,1600,1481,1538,1527,1501,1505,1451,1393,1428,1340
2014-04-25,1556,1553,1554,1517,1514,1553,1440,1539,1600,1481,1538,1527,1501,1505,1451,1393,1428,1340
2014-04-26,1556,1553,1554,1517,1514,1553,1440,1539,1600,1481,1538,1527,1501,1505,1451,1393,1428,1340
2014-04-27,1565,1544,1545,1524,1506,1558,1432,1543,1591,1474,1535,1536,1510,1514,1459,1389,1430,1336
2014-04-28,1565,1544,1545,1524,1506,1558,1432,1543,1591,1474,1535,1536,1510,1514,1459,1389,1430,1336
2014-04-29,1565,1544,1545,1524,1506,1558,1432,1543,1591,1474,1535,1536,1510,1514,1459,1389,1430,1336
2014-04-30,1572,1552,1537,1517,1514,1556,1435,1541,1597,1476,1533,1540,1502,1507,1448,1384,1433,1347
2014-05-01,1572,1552,1537,1517,1514,1556,1435,1541,1597,1476,1533,1540,1502,1507,1448,1384,1433,1347
2014-05-02,1572,1552,1537,1517,1514,1556,1435,1541,1597,1476,1533,1540,1502,1507,1448,1384,1433,1347
2014-05-03,1572,1552,1537,1517,1514,1556,1435,1541,1597,1476,1533,1540,1502,1507,1448,1384,1433,1347
2014-05-04,1564,1559,1542,1509,1506,1561,1437,1538,1594,1481,1540,1549,1495,1516,1443,1379,1436,1342
2014-05-05,1564,1559,1542,1509,1506,1561,1437,1538,1594,1481,1540,1549,1495,1516,1443,1379,1436,1342
2014-05-06,1564,1559,1542,1509,1506,1561,1437,1538,1594,1481,1540,1549,1495,1516,1443,1379,1436,1342
2014-05-07,1554,1557,1542,1502,1516,1561,1446,1546,1594,1488,1540,1540,1486,1524,1445,1386,1429,1335
2014-05-08,1554,1557,1542,1502,1516,1561,1446,1546,1594,1488,1540,1540,1486,1524,1445,1386,1429,1335
2014-05-09,1554,1557,1542,1502,1516,1561,1446,1546,1594,1488,1540,1540,1486,1524,1445,1386,1429,1335
2014-05-10,1554,1557,1542,1502,1516,1561,1446,1546,1594,1488,1540,1540,1486,1524,1445,1386,1429,1335
2014-05-11,1547,1562,1533,1504,1505,1569,1441,1537,1592,1497,1531,1548,1482,1533,1437,1397,1438,1338
2014-05-12,1547,1562,1533,1504,1505,1569,1441,1537,1592,1497,1531,1548,1482,1533,1437,1397,1438,1338
2014-05-13,1547,1562,1533,1504,1505,1569,1441,1537,1592,1497,1531,1548,1482,1533,1437,1397,1438,1338
2014-05-14,1547,1562,1533,1504,1505,1569,1441,1537,1592,1497,1531,1548,1482,1533,1437,1397,1438,1338
2014-05-15,1547,1562,1533,1504,1505,1569,1441,1537,1592,1497,1531,1548,1482,1533,1437,1397,1438,1338
2014-05-16,1547,1562,1533,1504,1505,1569,1441,1537,1592,1497,1531,1548,1482,1533,1437,1397,1438,1338
2014-05-17,1547,1562,1533,1504,1505,1569,1441,1537,1592,1497,1531,1548,1482,1533,1437,1397,1438,1338
2014-05-18,1550,1570,1533,1502,1506,1569,1443,1537,1592,1497,1524,1538,1488,1531,1447,1391,1439,1334
2014-05-19,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-05-20,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-05-21,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-05-22,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-05-23,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-05-24,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-05-25,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-05-26,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-05-27,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-05-28,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-05-29,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-05-30,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-05-31,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-06-01,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-06-02,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-06-03,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
2014-06-04,1550,1570,1542,1502,1506,1560,1443,1537,1581,1507,1524,1538,1488,1531,1447,1391,1439,1334
