,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,shimizu-s-pulse,nagoya-grampus-eight,kawasaki-frontale,albirex-niigata,sanfrecce-hiroshima,vegalta-sendai,kashiwa-reysol,fc-tokyo,sagan-tosu,ventforet-kofu,gamba-osaka,vissel-kobe,shonan-bellmare,matsumoto-yamaga,montedio-yamagata
2015-03-07,1568,1563,1552,1460,1531,1549,1495,1550,1482,1570,1510,1533,1472,1512,1433,1404,1404,1404
2015-03-08,1568,1568,1544,1460,1528,1557,1488,1556,1488,1575,1510,1540,1466,1512,1428,1399,1406,1397
2015-03-09,1558,1568,1544,1471,1528,1557,1488,1556,1488,1575,1510,1540,1466,1512,1428,1399,1406,1397
2015-03-10,1558,1568,1544,1471,1528,1557,1488,1556,1488,1575,1510,1540,1466,1512,1428,1399,1406,1397
2015-03-11,1558,1568,1544,1471,1528,1557,1488,1556,1488,1575,1510,1540,1466,1512,1428,1399,1406,1397
2015-03-12,1558,1568,1544,1471,1528,1557,1488,1556,1488,1575,1510,1540,1466,1512,1428,1399,1406,1397
2015-03-13,1558,1568,1544,1471,1528,1557,1488,1556,1488,1575,1510,1540,1466,1512,1428,1399,1406,1397
2015-03-14,1558,1568,1544,1471,1528,1557,1488,1556,1490,1573,1510,1540,1466,1512,1428,1399,1406,1397
2015-03-15,1546,1572,1543,1471,1518,1554,1488,1561,1490,1573,1510,1548,1475,1505,1431,1410,1402,1393
2015-03-16,1546,1572,1543,1471,1518,1554,1488,1561,1490,1573,1510,1548,1475,1505,1431,1410,1402,1393
2015-03-17,1546,1572,1543,1471,1518,1554,1488,1561,1490,1573,1510,1548,1475,1505,1431,1410,1402,1393
2015-03-18,1546,1572,1543,1471,1518,1554,1488,1561,1490,1573,1510,1548,1475,1505,1431,1410,1402,1393
2015-03-19,1546,1572,1543,1471,1518,1554,1488,1561,1490,1573,1510,1548,1475,1505,1431,1410,1402,1393
2015-03-20,1546,1572,1543,1471,1518,1554,1488,1561,1490,1573,1510,1548,1475,1505,1431,1410,1402,1393
2015-03-21,1546,1572,1543,1471,1518,1554,1488,1561,1490,1573,1510,1548,1475,1505,1431,1410,1402,1393
2015-03-22,1546,1572,1543,1471,1518,1554,1488,1561,1490,1573,1510,1548,1475,1505,1431,1410,1402,1393
2015-03-23,1546,1572,1551,1461,1519,1543,1498,1561,1488,1563,1517,1540,1468,1512,1425,1412,1411,1404
2015-03-24,1546,1572,1551,1461,1519,1543,1498,1561,1488,1563,1517,1540,1468,1512,1425,1412,1411,1404
2015-03-25,1546,1572,1551,1461,1519,1543,1498,1561,1488,1563,1517,1540,1468,1512,1425,1412,1411,1404
2015-03-26,1546,1572,1551,1461,1519,1543,1498,1561,1488,1563,1517,1540,1468,1512,1425,1412,1411,1404
2015-03-27,1546,1572,1551,1461,1519,1543,1498,1561,1488,1563,1517,1540,1468,1512,1425,1412,1411,1404
2015-03-28,1546,1572,1551,1461,1519,1543,1498,1561,1488,1563,1517,1540,1468,1512,1425,1412,1411,1404
2015-03-29,1546,1572,1551,1461,1519,1543,1498,1561,1488,1563,1517,1540,1468,1512,1425,1412,1411,1404
2015-03-30,1546,1572,1551,1461,1519,1543,1498,1561,1488,1563,1517,1540,1468,1512,1425,1412,1411,1404
2015-03-31,1546,1572,1551,1461,1519,1543,1498,1561,1488,1563,1517,1540,1468,1512,1425,1412,1411,1404
2015-04-01,1546,1572,1551,1461,1519,1543,1498,1561,1488,1563,1517,1540,1468,1512,1425,1412,1411,1404
2015-04-02,1546,1572,1551,1461,1519,1543,1498,1561,1488,1563,1517,1540,1468,1512,1425,1412,1411,1404
2015-04-03,1546,1572,1551,1461,1519,1543,1498,1561,1488,1563,1517,1540,1468,1512,1425,1412,1411,1404
2015-04-04,1553,1572,1551,1461,1511,1543,1498,1561,1488,1563,1517,1532,1468,1520,1425,1412,1411,1404
2015-04-05,1553,1577,1559,1454,1511,1550,1491,1550,1495,1555,1523,1532,1461,1520,1436,1420,1407,1397
2015-04-06,1553,1577,1559,1454,1511,1550,1491,1550,1495,1555,1523,1532,1461,1520,1436,1420,1407,1397
2015-04-07,1553,1577,1559,1454,1511,1550,1491,1550,1495,1555,1523,1532,1461,1520,1436,1420,1407,1397
2015-04-08,1553,1577,1559,1454,1511,1550,1491,1550,1495,1555,1523,1532,1461,1520,1436,1420,1407,1397
2015-04-09,1553,1577,1559,1454,1511,1550,1491,1550,1495,1555,1523,1532,1461,1520,1436,1420,1407,1397
2015-04-10,1553,1577,1559,1454,1511,1550,1491,1550,1495,1555,1523,1532,1461,1520,1436,1420,1407,1397
2015-04-11,1553,1577,1559,1454,1511,1550,1491,1550,1495,1555,1523,1532,1461,1520,1436,1420,1407,1397
2015-04-12,1553,1577,1559,1454,1511,1550,1491,1550,1495,1555,1523,1532,1461,1520,1436,1420,1407,1397
2015-04-13,1552,1576,1558,1448,1520,1550,1492,1541,1497,1560,1529,1537,1453,1527,1444,1414,1402,1392
2015-04-14,1552,1576,1558,1448,1520,1550,1492,1541,1497,1560,1529,1537,1453,1527,1444,1414,1402,1392
2015-04-15,1552,1576,1558,1448,1520,1550,1492,1541,1497,1560,1529,1537,1453,1527,1444,1414,1402,1392
