,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,nagoya-grampus-eight,kawasaki-frontale,albirex-niigata,sanfrecce-hiroshima,vegalta-sendai,kashiwa-reysol,fc-tokyo,sagan-tosu,ventforet-kofu,gamba-osaka,vissel-kobe,shonan-bellmare,omiya-ardija,jubilo-iwata,avispa-fukuoka
2016-02-27,1582,1618,1561,1506,1556,1457,1622,1440,1529,1555,1497,1450,1567,1433,1467,1384,1384,1384
2016-02-28,1582,1624,1550,1512,1566,1465,1612,1451,1523,1543,1502,1457,1567,1425,1458,1396,1379,1379
2016-02-29,1590,1624,1550,1512,1566,1465,1612,1451,1523,1543,1502,1457,1559,1425,1458,1396,1379,1379
2016-03-01,1590,1624,1550,1512,1566,1465,1612,1451,1523,1543,1502,1457,1559,1425,1458,1396,1379,1379
2016-03-02,1590,1624,1550,1512,1566,1465,1612,1451,1523,1543,1502,1457,1559,1425,1458,1396,1379,1379
2016-03-03,1590,1624,1550,1512,1566,1465,1612,1451,1523,1543,1502,1457,1559,1425,1458,1396,1379,1379
2016-03-04,1590,1624,1550,1512,1566,1465,1612,1451,1523,1543,1502,1457,1559,1425,1458,1396,1379,1379
2016-03-05,1590,1624,1550,1512,1566,1465,1612,1451,1523,1543,1502,1457,1559,1425,1458,1396,1379,1379
2016-03-06,1596,1624,1546,1512,1563,1456,1612,1451,1512,1543,1496,1457,1559,1434,1461,1407,1379,1382
2016-03-07,1596,1611,1546,1514,1563,1456,1610,1445,1512,1549,1496,1452,1565,1434,1461,1407,1392,1382
2016-03-08,1596,1611,1546,1514,1563,1456,1610,1445,1512,1549,1496,1452,1565,1434,1461,1407,1392,1382
2016-03-09,1596,1611,1546,1514,1563,1456,1610,1445,1512,1549,1496,1452,1565,1434,1461,1407,1392,1382
2016-03-10,1596,1611,1546,1514,1563,1456,1610,1445,1512,1549,1496,1452,1565,1434,1461,1407,1392,1382
2016-03-11,1596,1611,1546,1514,1563,1456,1610,1445,1512,1549,1496,1452,1565,1434,1461,1407,1392,1382
2016-03-12,1596,1611,1546,1514,1563,1456,1610,1445,1512,1554,1496,1452,1569,1429,1461,1402,1392,1382
2016-03-13,1584,1614,1552,1507,1570,1450,1607,1456,1509,1554,1495,1453,1569,1429,1464,1402,1395,1379
2016-03-14,1584,1614,1552,1507,1570,1450,1607,1456,1509,1554,1495,1453,1569,1429,1464,1402,1395,1379
2016-03-15,1584,1614,1552,1507,1570,1450,1607,1456,1509,1554,1495,1453,1569,1429,1464,1402,1395,1379
2016-03-16,1584,1614,1552,1507,1570,1450,1607,1456,1509,1554,1495,1453,1569,1429,1464,1402,1395,1379
2016-03-17,1584,1614,1552,1507,1570,1450,1607,1456,1509,1554,1495,1453,1569,1429,1464,1402,1395,1379
2016-03-18,1584,1614,1552,1507,1570,1450,1607,1456,1509,1554,1495,1453,1569,1429,1464,1402,1395,1379
2016-03-19,1584,1614,1552,1507,1570,1450,1607,1456,1509,1554,1495,1453,1569,1429,1464,1402,1395,1379
2016-03-20,1592,1614,1559,1514,1576,1451,1607,1450,1508,1547,1488,1447,1558,1440,1464,1402,1394,1379
2016-03-21,1592,1619,1559,1514,1576,1451,1611,1450,1508,1547,1488,1447,1558,1440,1459,1398,1394,1379
2016-03-22,1592,1619,1559,1514,1576,1451,1611,1450,1508,1547,1488,1447,1558,1440,1459,1398,1394,1379
2016-03-23,1592,1619,1559,1514,1576,1451,1611,1450,1508,1547,1488,1447,1558,1440,1459,1398,1394,1379
2016-03-24,1592,1619,1559,1514,1576,1451,1611,1450,1508,1547,1488,1447,1558,1440,1459,1398,1394,1379
2016-03-25,1592,1619,1559,1514,1576,1451,1611,1450,1508,1547,1488,1447,1558,1440,1459,1398,1394,1379
2016-03-26,1592,1619,1559,1514,1576,1451,1611,1450,1508,1547,1488,1447,1558,1440,1459,1398,1394,1379
2016-03-27,1592,1619,1559,1514,1576,1451,1611,1450,1508,1547,1488,1447,1558,1440,1459,1398,1394,1379
2016-03-28,1592,1619,1559,1514,1576,1451,1611,1450,1508,1547,1488,1447,1558,1440,1459,1398,1394,1379
2016-03-29,1592,1619,1559,1514,1576,1451,1611,1450,1508,1547,1488,1447,1558,1440,1459,1398,1394,1379
2016-03-30,1592,1619,1559,1514,1576,1451,1611,1450,1508,1547,1488,1447,1558,1440,1459,1398,1394,1379
2016-03-31,1592,1619,1559,1514,1576,1451,1611,1450,1508,1547,1488,1447,1558,1440,1459,1398,1394,1379
2016-04-01,1592,1619,1559,1514,1576,1451,1611,1450,1508,1547,1488,1447,1558,1440,1459,1398,1394,1379
2016-04-02,1592,1624,1559,1514,1576,1451,1615,1445,1508,1547,1488,1443,1558,1440,1459,1398,1394,1379
2016-04-03,1591,1624,1567,1507,1576,1458,1615,1445,1507,1554,1489,1443,1550,1448,1451,1398,1394,1373
2016-04-04,1591,1624,1567,1507,1576,1458,1615,1445,1507,1554,1489,1443,1550,1448,1451,1398,1394,1373
