,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,kawasaki-frontale,albirex-niigata,sanfrecce-hiroshima,vegalta-sendai,kashiwa-reysol,fc-tokyo,sagan-tosu,ventforet-kofu,gamba-osaka,vissel-kobe,omiya-ardija,jubilo-iwata,consadole-sapporo,shimizu-s-pulse,cerezo-osaka
2017-02-25,1562,1655,1554,1609,1407,1580,1449,1541,1551,1507,1418,1577,1510,1491,1406,1391,1391,1391
2017-02-26,1553,1644,1565,1615,1411,1576,1455,1548,1559,1500,1418,1577,1515,1486,1406,1385,1386,1392
2017-02-27,1553,1644,1565,1615,1411,1576,1455,1548,1559,1500,1421,1573,1515,1486,1406,1385,1386,1392
2017-02-28,1553,1644,1565,1615,1411,1576,1455,1548,1559,1500,1421,1573,1515,1486,1406,1385,1386,1392
2017-03-01,1553,1644,1565,1615,1411,1576,1455,1548,1559,1500,1421,1573,1515,1486,1406,1385,1386,1392
2017-03-02,1553,1644,1565,1615,1411,1576,1455,1548,1559,1500,1421,1573,1515,1486,1406,1385,1386,1392
2017-03-03,1553,1644,1565,1615,1411,1576,1455,1548,1559,1500,1421,1573,1515,1486,1406,1385,1386,1392
2017-03-04,1553,1644,1565,1615,1411,1576,1455,1548,1559,1500,1421,1573,1515,1486,1406,1385,1386,1392
2017-03-05,1559,1647,1569,1615,1405,1564,1462,1548,1565,1500,1416,1573,1521,1480,1399,1380,1398,1389
2017-03-06,1559,1647,1569,1612,1405,1564,1462,1541,1565,1502,1416,1581,1521,1480,1399,1380,1398,1389
2017-03-07,1559,1647,1569,1612,1405,1564,1462,1541,1565,1502,1416,1581,1521,1480,1399,1380,1398,1389
2017-03-08,1559,1647,1569,1612,1405,1564,1462,1541,1565,1502,1416,1581,1521,1480,1399,1380,1398,1389
2017-03-09,1559,1647,1569,1612,1405,1564,1462,1541,1565,1502,1416,1581,1521,1480,1399,1380,1398,1389
2017-03-10,1559,1647,1569,1612,1405,1564,1462,1541,1565,1502,1416,1581,1521,1480,1399,1380,1398,1389
2017-03-11,1567,1651,1561,1619,1405,1564,1462,1535,1565,1502,1413,1581,1521,1480,1399,1380,1398,1389
2017-03-12,1567,1651,1561,1619,1397,1555,1456,1535,1558,1512,1413,1588,1527,1470,1409,1381,1406,1388
2017-03-13,1567,1651,1561,1619,1397,1555,1456,1535,1558,1512,1413,1588,1527,1470,1409,1381,1406,1388
2017-03-14,1567,1651,1561,1619,1397,1555,1456,1535,1558,1512,1413,1588,1527,1470,1409,1381,1406,1388
2017-03-15,1567,1651,1561,1619,1397,1555,1456,1535,1558,1512,1413,1588,1527,1470,1409,1381,1406,1388
2017-03-16,1567,1651,1561,1619,1397,1555,1456,1535,1558,1512,1413,1588,1527,1470,1409,1381,1406,1388
2017-03-17,1567,1651,1561,1619,1397,1555,1456,1535,1558,1512,1413,1588,1527,1470,1409,1381,1406,1388
2017-03-18,1567,1651,1561,1619,1397,1555,1456,1535,1558,1512,1413,1588,1527,1470,1409,1381,1406,1388
2017-03-19,1571,1651,1557,1609,1401,1543,1465,1525,1567,1501,1422,1588,1533,1461,1404,1392,1402,1399
2017-03-20,1571,1649,1557,1609,1401,1543,1465,1525,1567,1501,1422,1590,1533,1461,1404,1392,1402,1399
2017-03-21,1571,1649,1557,1609,1401,1543,1465,1525,1567,1501,1422,1590,1533,1461,1404,1392,1402,1399
2017-03-22,1571,1649,1557,1609,1401,1543,1465,1525,1567,1501,1422,1590,1533,1461,1404,1392,1402,1399
2017-03-23,1571,1649,1557,1609,1401,1543,1465,1525,1567,1501,1422,1590,1533,1461,1404,1392,1402,1399
2017-03-24,1571,1649,1557,1609,1401,1543,1465,1525,1567,1501,1422,1590,1533,1461,1404,1392,1402,1399
