,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,kawasaki-frontale,sanfrecce-hiroshima,vegalta-sendai,kashiwa-reysol,fc-tokyo,sagan-tosu,gamba-osaka,vissel-kobe,jubilo-iwata,consadole-sapporo,shimizu-s-pulse,cerezo-osaka,shonan-bellmare,v-varen-nagasaki,nagoya-grampus-eight
2018-02-23,1615,1572,1568,1654,1494,1451,1577,1489,1499,1506,1480,1507,1446,1401,1503,1410,1410,1410
2018-02-24,1615,1572,1568,1654,1494,1451,1577,1489,1498,1506,1480,1507,1446,1401,1503,1410,1410,1410
2018-02-25,1615,1570,1568,1654,1501,1451,1577,1491,1498,1496,1480,1507,1440,1401,1503,1418,1402,1420
2018-02-26,1610,1570,1566,1659,1501,1461,1566,1491,1498,1496,1480,1502,1440,1405,1504,1418,1402,1420
2018-02-27,1610,1570,1566,1659,1501,1461,1566,1491,1498,1496,1480,1502,1440,1405,1504,1418,1402,1420
2018-02-28,1610,1570,1566,1659,1501,1461,1566,1491,1498,1496,1480,1502,1440,1405,1504,1418,1402,1420
2018-03-01,1610,1570,1566,1659,1501,1461,1566,1491,1498,1496,1480,1502,1440,1405,1504,1418,1402,1420
2018-03-02,1610,1570,1566,1659,1501,1461,1566,1491,1498,1496,1480,1502,1440,1405,1504,1418,1402,1420
2018-03-03,1610,1570,1558,1654,1501,1461,1574,1491,1498,1496,1480,1502,1441,1405,1503,1423,1402,1420
2018-03-04,1616,1570,1558,1654,1501,1470,1574,1482,1496,1491,1470,1492,1441,1415,1503,1423,1404,1430
2018-03-05,1616,1560,1558,1654,1511,1470,1574,1482,1496,1491,1470,1492,1441,1415,1503,1423,1404,1430
2018-03-06,1616,1560,1558,1654,1511,1470,1574,1482,1496,1491,1470,1492,1441,1415,1503,1423,1404,1430
2018-03-07,1616,1560,1558,1654,1511,1470,1574,1482,1496,1491,1470,1492,1441,1415,1503,1423,1404,1430
2018-03-08,1616,1560,1558,1654,1511,1470,1574,1482,1496,1491,1470,1492,1441,1415,1503,1423,1404,1430
2018-03-09,1616,1560,1558,1654,1511,1470,1574,1482,1496,1491,1470,1492,1441,1415,1503,1423,1404,1430
2018-03-10,1616,1560,1558,1654,1511,1470,1574,1482,1496,1491,1470,1492,1441,1415,1503,1423,1404,1430
2018-03-11,1605,1557,1549,1659,1521,1470,1573,1474,1506,1486,1470,1500,1432,1423,1505,1423,1407,1430
2018-03-12,1605,1557,1549,1659,1521,1470,1573,1474,1506,1486,1470,1500,1432,1423,1505,1423,1407,1430
2018-03-13,1605,1557,1549,1659,1521,1470,1573,1474,1506,1486,1470,1500,1432,1423,1505,1423,1407,1430
2018-03-14,1605,1557,1549,1659,1521,1470,1573,1474,1506,1486,1470,1500,1432,1423,1505,1423,1407,1430
2018-03-15,1605,1557,1549,1659,1521,1470,1573,1474,1506,1486,1470,1500,1432,1423,1505,1423,1407,1430
2018-03-16,1605,1557,1549,1659,1521,1470,1573,1474,1506,1486,1470,1500,1432,1423,1505,1423,1407,1430
2018-03-17,1605,1557,1549,1659,1521,1470,1573,1474,1506,1486,1470,1500,1432,1423,1505,1423,1407,1430
2018-03-18,1605,1557,1549,1659,1521,1470,1573,1474,1506,1486,1470,1500,1432,1423,1505,1423,1407,1430
2018-03-19,1611,1549,1557,1662,1521,1469,1571,1481,1500,1488,1479,1501,1440,1424,1496,1416,1400,1426
2018-03-20,1611,1549,1557,1662,1521,1469,1571,1481,1500,1488,1479,1501,1440,1424,1496,1416,1400,1426
2018-03-21,1611,1549,1557,1662,1521,1469,1571,1481,1500,1488,1479,1501,1440,1424,1496,1416,1400,1426
2018-03-22,1611,1549,1557,1662,1521,1469,1571,1481,1500,1488,1479,1501,1440,1424,1496,1416,1400,1426
2018-03-23,1611,1549,1557,1662,1521,1469,1571,1481,1500,1488,1479,1501,1440,1424,1496,1416,1400,1426
2018-03-24,1611,1549,1557,1662,1521,1469,1571,1481,1500,1488,1479,1501,1440,1424,1496,1416,1400,1426
2018-03-25,1611,1549,1557,1662,1521,1469,1571,1481,1500,1488,1479,1501,1440,1424,1496,1416,1400,1426
2018-03-26,1611,1549,1557,1662,1521,1469,1571,1481,1500,1488,1479,1501,1440,1424,1496,1416,1400,1426
2018-03-27,1611,1549,1557,1662,1521,1469,1571,1481,1500,1488,1479,1501,1440,1424,1496,1416,1400,1426
2018-03-28,1611,1549,1557,1662,1521,1469,1571,1481,1500,1488,1479,1501,1440,1424,1496,1416,1400,1426
2018-03-29,1611,1549,1557,1662,1521,1469,1571,1481,1500,1488,1479,1501,1440,1424,1496,1416,1400,1426
2018-03-30,1611,1549,1557,1662,1521,1469,1571,1481,1500,1488,1479,1501,1440,1424,1496,1416,1400,1426
2018-03-31,1611,1549,1557,1662,1521,1469,1577,1481,1500,1488,1473,1501,1440,1424,1496,1416,1400,1426
2018-04-01,1607,1549,1562,1651,1532,1475,1577,1489,1506,1480,1473,1501,1443,1419,1502,1410,1394,1420
2018-04-02,1607,1540,1562,1651,1532,1475,1577,1489,1506,1480,1473,1510,1443,1419,1502,1410,1394,1420
2018-04-03,1607,1540,1562,1651,1532,1475,1577,1489,1506,1480,1473,1510,1443,1419,1502,1410,1394,1420
2018-04-04,1607,1540,1562,1651,1532,1475,1577,1489,1506,1480,1473,1510,1443,1419,1502,1410,1394,1420
2018-04-05,1607,1540,1562,1651,1532,1475,1577,1489,1506,1480,1473,1510,1443,1419,1502,1410,1394,1420
2018-04-06,1607,1540,1562,1651,1532,1475,1577,1489,1506,1480,1473,1510,1443,1419,1502,1410,1394,1420
2018-04-07,1607,1540,1562,1651,1532,1475,1577,1489,1506,1480,1473,1510,1443,1419,1502,1410,1394,1420
