,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,kawasaki-frontale,sanfrecce-hiroshima,vegalta-sendai,fc-tokyo,sagan-tosu,gamba-osaka,vissel-kobe,jubilo-iwata,consadole-sapporo,shimizu-s-pulse,cerezo-osaka,shonan-bellmare,nagoya-grampus-eight,matsumoto-yamaga,oita-trinita
2019-02-22,1593,1554,1501,1654,1506,1457,1495,1493,1520,1485,1481,1509,1463,1512,1444,1437,1443,1443
2019-02-23,1593,1554,1501,1654,1506,1457,1495,1493,1520,1477,1481,1509,1463,1520,1444,1437,1443,1443
2019-02-24,1582,1552,1510,1650,1505,1459,1498,1484,1512,1477,1480,1500,1464,1520,1453,1446,1444,1454
2019-02-25,1582,1552,1510,1650,1505,1459,1498,1484,1512,1477,1480,1500,1464,1520,1453,1446,1444,1454
2019-02-26,1582,1552,1510,1650,1505,1459,1498,1484,1512,1477,1480,1500,1464,1520,1453,1446,1444,1454
2019-02-27,1582,1552,1510,1650,1505,1459,1498,1484,1512,1477,1480,1500,1464,1520,1453,1446,1444,1454
2019-02-28,1582,1552,1510,1650,1505,1459,1498,1484,1512,1477,1480,1500,1464,1520,1453,1446,1444,1454
2019-03-01,1582,1552,1510,1650,1505,1459,1498,1484,1512,1477,1480,1500,1464,1520,1453,1446,1444,1454
2019-03-02,1583,1552,1510,1649,1504,1459,1498,1484,1512,1477,1481,1500,1464,1520,1453,1446,1444,1454
2019-03-03,1583,1542,1517,1649,1504,1452,1505,1476,1519,1485,1481,1509,1458,1510,1447,1456,1452,1446
2019-03-04,1583,1542,1517,1649,1504,1452,1505,1476,1519,1485,1481,1509,1458,1510,1447,1456,1452,1446
2019-03-05,1583,1542,1517,1649,1504,1452,1505,1476,1519,1485,1481,1509,1458,1510,1447,1456,1452,1446
2019-03-06,1583,1542,1517,1649,1504,1452,1505,1476,1519,1485,1481,1509,1458,1510,1447,1456,1452,1446
2019-03-07,1583,1542,1517,1649,1504,1452,1505,1476,1519,1485,1481,1509,1458,1510,1447,1456,1452,1446
2019-03-08,1583,1542,1517,1649,1504,1452,1505,1476,1519,1485,1481,1509,1458,1510,1447,1456,1452,1446
2019-03-09,1583,1542,1517,1649,1504,1452,1505,1476,1519,1485,1481,1509,1458,1510,1447,1456,1452,1446
2019-03-10,1588,1548,1517,1649,1512,1452,1505,1476,1509,1485,1472,1516,1451,1502,1442,1465,1446,1455
2019-03-11,1588,1548,1519,1646,1512,1445,1512,1469,1509,1493,1472,1516,1451,1502,1442,1465,1446,1455
2019-03-12,1588,1548,1519,1646,1512,1445,1512,1469,1509,1493,1472,1516,1451,1502,1442,1465,1446,1455
2019-03-13,1588,1548,1519,1646,1512,1445,1512,1469,1509,1493,1472,1516,1451,1502,1442,1465,1446,1455
2019-03-14,1588,1548,1519,1646,1512,1445,1512,1469,1509,1493,1472,1516,1451,1502,1442,1465,1446,1455
2019-03-15,1588,1548,1519,1646,1512,1445,1512,1469,1509,1493,1472,1516,1451,1502,1442,1465,1446,1455
2019-03-16,1588,1548,1519,1646,1512,1445,1512,1469,1509,1493,1472,1516,1451,1502,1442,1465,1446,1455
2019-03-17,1588,1548,1519,1646,1512,1445,1512,1469,1509,1493,1472,1516,1451,1502,1442,1465,1446,1455
2019-03-18,1595,1555,1510,1635,1519,1437,1519,1477,1520,1492,1464,1509,1452,1495,1450,1458,1439,1464
2019-03-19,1595,1555,1510,1635,1519,1437,1519,1477,1520,1492,1464,1509,1452,1495,1450,1458,1439,1464
2019-03-20,1595,1555,1510,1635,1519,1437,1519,1477,1520,1492,1464,1509,1452,1495,1450,1458,1439,1464
2019-03-21,1595,1555,1510,1635,1519,1437,1519,1477,1520,1492,1464,1509,1452,1495,1450,1458,1439,1464
2019-03-22,1595,1555,1510,1635,1519,1437,1519,1477,1520,1492,1464,1509,1452,1495,1450,1458,1439,1464
2019-03-23,1595,1555,1510,1635,1519,1437,1519,1477,1520,1492,1464,1509,1452,1495,1450,1458,1439,1464
2019-03-24,1595,1555,1510,1635,1519,1437,1519,1477,1520,1492,1464,1509,1452,1495,1450,1458,1439,1464
2019-03-25,1595,1555,1510,1635,1519,1437,1519,1477,1520,1492,1464,1509,1452,1495,1450,1458,1439,1464
2019-03-26,1595,1555,1510,1635,1519,1437,1519,1477,1520,1492,1464,1509,1452,1495,1450,1458,1439,1464
2019-03-27,1595,1555,1510,1635,1519,1437,1519,1477,1520,1492,1464,1509,1452,1495,1450,1458,1439,1464
2019-03-28,1595,1555,1510,1635,1519,1437,1519,1477,1520,1492,1464,1509,1452,1495,1450,1458,1439,1464
2019-03-29,1595,1555,1510,1635,1519,1437,1519,1477,1520,1492,1464,1509,1452,1495,1450,1458,1439,1464
2019-03-30,1595,1555,1509,1635,1519,1437,1519,1478,1520,1492,1464,1509,1452,1495,1450,1458,1439,1464
2019-03-31,1592,1555,1509,1635,1525,1430,1520,1478,1512,1500,1467,1500,1452,1502,1450,1468,1439,1457
2019-04-01,1592,1555,1509,1639,1525,1430,1520,1478,1512,1500,1467,1500,1444,1502,1458,1468,1436,1457
2019-04-02,1592,1555,1509,1639,1525,1430,1520,1478,1512,1500,1467,1500,1444,1502,1458,1468,1436,1457
2019-04-03,1592,1555,1509,1639,1525,1430,1520,1478,1512,1500,1467,1500,1444,1502,1458,1468,1436,1457
2019-04-04,1592,1555,1509,1639,1525,1430,1520,1478,1512,1500,1467,1500,1444,1502,1458,1468,1436,1457
2019-04-05,1592,1555,1509,1639,1525,1430,1520,1478,1512,1500,1467,1500,1444,1502,1458,1468,1436,1457
2019-04-06,1597,1546,1518,1636,1525,1430,1520,1478,1512,1500,1467,1500,1444,1505,1458,1462,1436,1457
2019-04-07,1597,1546,1518,1636,1533,1439,1526,1468,1504,1491,1475,1491,1437,1505,1450,1462,1445,1466
2019-04-08,1597,1546,1518,1636,1533,1439,1526,1468,1504,1491,1475,1491,1437,1505,1450,1462,1445,1466
2019-04-09,1597,1546,1518,1636,1533,1439,1526,1468,1504,1491,1475,1491,1437,1505,1450,1462,1445,1466
2019-04-10,1597,1546,1518,1636,1533,1439,1526,1468,1504,1491,1475,1491,1437,1505,1450,1462,1445,1466
2019-04-11,1597,1546,1518,1636,1533,1439,1526,1468,1504,1491,1475,1491,1437,1505,1450,1462,1445,1466
2019-04-12,1597,1546,1518,1636,1533,1439,1526,1468,1504,1491,1475,1491,1437,1505,1450,1462,1445,1466
2019-04-13,1597,1546,1518,1636,1533,1439,1526,1468,1504,1491,1475,1491,1437,1505,1450,1462,1445,1466
2019-04-14,1597,1546,1517,1636,1533,1439,1526,1468,1504,1491,1475,1500,1437,1496,1450,1464,1445,1466
2019-04-15,1588,1553,1517,1640,1540,1432,1536,1464,1497,1484,1466,1500,1446,1496,1450,1464,1445,1474
2019-04-16,1588,1553,1517,1640,1540,1432,1536,1464,1497,1484,1466,1500,1446,1496,1450,1464,1445,1474
2019-04-17,1588,1553,1517,1640,1540,1432,1536,1464,1497,1484,1466,1500,1446,1496,1450,1464,1445,1474
2019-04-18,1588,1553,1517,1640,1540,1432,1536,1464,1497,1484,1466,1500,1446,1496,1450,1464,1445,1474
2019-04-19,1588,1553,1517,1640,1540,1432,1536,1464,1497,1484,1466,1500,1446,1496,1450,1464,1445,1474
2019-04-20,1588,1553,1517,1644,1532,1432,1544,1464,1497,1484,1466,1500,1446,1496,1446,1464,1445,1474
2019-04-21,1592,1559,1509,1644,1532,1427,1544,1456,1496,1477,1458,1508,1455,1487,1446,1472,1454,1474
2019-04-22,1592,1559,1509,1644,1532,1427,1544,1456,1496,1477,1458,1508,1455,1487,1446,1472,1454,1474
2019-04-23,1592,1559,1509,1644,1532,1427,1544,1456,1496,1477,1458,1508,1455,1487,1446,1472,1454,1474
2019-04-24,1592,1559,1509,1644,1532,1427,1544,1456,1496,1477,1458,1508,1455,1487,1446,1472,1454,1474
2019-04-25,1592,1559,1509,1644,1532,1427,1544,1456,1496,1477,1458,1508,1455,1487,1446,1472,1454,1474
2019-04-26,1592,1559,1509,1644,1532,1427,1544,1456,1496,1477,1458,1508,1455,1487,1446,1472,1454,1474
2019-04-27,1592,1559,1509,1644,1532,1427,1544,1456,1496,1477,1458,1508,1455,1487,1446,1472,1454,1474
2019-04-28,1592,1559,1509,1644,1532,1427,1544,1456,1496,1477,1458,1508,1455,1487,1446,1472,1454,1475
2019-04-29,1582,1565,1518,1649,1523,1437,1550,1447,1487,1473,1451,1515,1450,1487,1454,1481,1448,1475
2019-04-30,1582,1565,1518,1649,1523,1437,1550,1447,1487,1473,1451,1515,1450,1487,1454,1481,1448,1475
2019-05-01,1582,1565,1518,1649,1523,1437,1550,1447,1487,1473,1451,1515,1450,1487,1454,1481,1448,1475
2019-05-02,1582,1565,1518,1649,1523,1437,1550,1447,1487,1473,1451,1515,1450,1487,1454,1481,1448,1475
2019-05-03,1582,1565,1518,1649,1523,1437,1550,1447,1487,1473,1451,1515,1450,1487,1454,1481,1448,1475
2019-05-04,1587,1554,1527,1652,1515,1433,1550,1447,1487,1473,1462,1515,1445,1487,1454,1481,1448,1475
2019-05-05,1587,1554,1527,1652,1515,1433,1549,1440,1488,1466,1462,1522,1445,1494,1455,1480,1440,1482
2019-05-06,1587,1554,1527,1652,1515,1433,1549,1440,1488,1466,1462,1522,1445,1494,1455,1480,1440,1482
2019-05-07,1587,1554,1527,1652,1515,1433,1549,1440,1488,1466,1462,1522,1445,1494,1455,1480,1440,1482
2019-05-08,1587,1554,1527,1652,1515,1433,1549,1440,1488,1466,1462,1522,1445,1494,1455,1480,1440,1482
2019-05-09,1587,1554,1527,1652,1515,1433,1549,1440,1488,1466,1462,1522,1445,1494,1455,1480,1440,1482
2019-05-10,1587,1554,1527,1652,1515,1433,1549,1440,1488,1466,1462,1522,1445,1494,1455,1480,1440,1482
2019-05-11,1587,1554,1527,1652,1515,1433,1549,1440,1488,1466,1462,1522,1445,1494,1455,1480,1440,1482
2019-05-12,1587,1554,1518,1652,1515,1433,1549,1449,1479,1466,1462,1522,1445,1503,1455,1480,1440,1482
2019-05-13,1593,1544,1518,1656,1505,1443,1555,1449,1479,1461,1456,1520,1441,1503,1447,1490,1442,1489
2019-05-14,1593,1544,1518,1656,1505,1443,1555,1449,1479,1461,1456,1520,1441,1503,1447,1490,1442,1489
2019-05-15,1593,1544,1518,1656,1505,1443,1555,1449,1479,1461,1456,1520,1441,1503,1447,1490,1442,1489
2019-05-16,1593,1544,1518,1656,1505,1443,1555,1449,1479,1461,1456,1520,1441,1503,1447,1490,1442,1489
2019-05-17,1593,1544,1518,1656,1505,1443,1555,1449,1479,1461,1456,1520,1441,1503,1447,1490,1442,1489
2019-05-18,1593,1534,1518,1653,1496,1443,1555,1458,1479,1461,1456,1520,1441,1503,1457,1494,1442,1489
2019-05-19,1597,1534,1525,1653,1496,1435,1562,1458,1488,1454,1463,1513,1442,1494,1457,1494,1438,1488
2019-05-20,1597,1534,1525,1653,1496,1435,1562,1458,1488,1454,1463,1513,1442,1494,1457,1494,1438,1488
2019-05-21,1597,1534,1525,1653,1496,1435,1562,1458,1488,1454,1463,1513,1442,1494,1457,1494,1438,1488
2019-05-22,1597,1534,1525,1653,1496,1435,1562,1458,1488,1454,1463,1513,1442,1494,1457,1494,1438,1488
2019-05-23,1597,1534,1525,1653,1496,1435,1562,1458,1488,1454,1463,1513,1442,1494,1457,1494,1438,1488
2019-05-24,1597,1534,1525,1653,1496,1435,1562,1458,1488,1454,1463,1513,1442,1494,1457,1494,1438,1488
2019-05-25,1597,1534,1525,1653,1496,1435,1562,1458,1488,1454,1463,1513,1442,1494,1457,1494,1438,1488
2019-05-26,1597,1534,1525,1653,1496,1427,1552,1458,1488,1454,1463,1512,1450,1504,1457,1494,1438,1488
2019-05-27,1586,1525,1531,1657,1504,1427,1552,1469,1488,1462,1457,1512,1450,1504,1449,1484,1447,1484
2019-05-28,1586,1525,1531,1657,1504,1427,1552,1469,1488,1462,1457,1512,1450,1504,1449,1484,1447,1484
2019-05-29,1586,1525,1531,1657,1504,1427,1552,1469,1488,1462,1457,1512,1450,1504,1449,1484,1447,1484
2019-05-30,1586,1525,1531,1657,1504,1427,1552,1469,1488,1462,1457,1512,1450,1504,1449,1484,1447,1484
2019-05-31,1586,1525,1531,1657,1504,1427,1552,1469,1488,1462,1457,1512,1450,1504,1449,1484,1447,1484
2019-06-01,1586,1525,1537,1657,1504,1427,1552,1469,1488,1462,1457,1512,1450,1504,1443,1484,1447,1484
2019-06-02,1584,1528,1537,1654,1497,1437,1559,1462,1491,1462,1457,1520,1450,1511,1443,1475,1447,1477
2019-06-03,1584,1528,1537,1654,1497,1437,1559,1462,1491,1462,1457,1520,1450,1511,1443,1475,1447,1477
2019-06-04,1584,1528,1537,1654,1497,1437,1559,1462,1491,1462,1457,1520,1450,1511,1443,1475,1447,1477
2019-06-05,1584,1528,1537,1654,1497,1437,1559,1462,1491,1462,1457,1520,1450,1511,1443,1475,1447,1477
2019-06-06,1584,1528,1537,1654,1497,1437,1559,1462,1491,1462,1457,1520,1450,1511,1443,1475,1447,1477
2019-06-07,1584,1528,1537,1654,1497,1437,1559,1462,1491,1462,1457,1520,1450,1511,1443,1475,1447,1477
2019-06-08,1584,1528,1537,1654,1497,1437,1559,1462,1491,1462,1457,1520,1450,1511,1443,1475,1447,1477
2019-06-09,1584,1528,1537,1654,1497,1437,1559,1462,1491,1462,1457,1520,1450,1511,1443,1475,1447,1477
2019-06-10,1584,1528,1537,1654,1497,1437,1559,1462,1491,1462,1457,1520,1450,1511,1443,1475,1447,1477
2019-06-11,1584,1528,1537,1654,1497,1437,1559,1462,1491,1462,1457,1520,1450,1511,1443,1475,1447,1477
2019-06-12,1584,1528,1537,1654,1497,1437,1559,1462,1491,1462,1457,1520,1450,1511,1443,1475,1447,1477
2019-06-13,1584,1528,1537,1654,1497,1437,1559,1462,1491,1462,1457,1520,1450,1511,1443,1475,1447,1477
2019-06-14,1584,1528,1537,1654,1497,1437,1559,1462,1491,1462,1457,1520,1450,1511,1443,1475,1447,1477
2019-06-15,1591,1528,1537,1651,1503,1437,1559,1462,1491,1462,1457,1523,1450,1505,1436,1475,1447,1477
2019-06-16,1591,1535,1527,1651,1503,1445,1549,1456,1490,1472,1458,1523,1460,1505,1436,1475,1439,1477
2019-06-17,1591,1535,1527,1651,1503,1445,1549,1456,1490,1472,1458,1523,1460,1505,1436,1475,1439,1477
2019-06-18,1591,1535,1527,1651,1503,1445,1549,1456,1490,1472,1458,1523,1460,1505,1436,1475,1439,1477
2019-06-19,1591,1535,1527,1651,1503,1445,1549,1456,1490,1472,1458,1523,1460,1505,1436,1475,1439,1477
2019-06-20,1591,1535,1527,1651,1503,1445,1549,1456,1490,1472,1458,1523,1460,1505,1436,1475,1439,1477
2019-06-21,1591,1535,1527,1651,1503,1445,1549,1456,1490,1472,1458,1523,1460,1505,1436,1475,1439,1477
2019-06-22,1591,1535,1527,1651,1503,1445,1549,1456,1490,1472,1458,1523,1460,1505,1436,1475,1439,1477
2019-06-23,1591,1535,1533,1651,1503,1445,1549,1449,1497,1472,1451,1530,1468,1512,1430,1467,1433,1477
2019-06-24,1591,1535,1533,1651,1503,1455,1538,1449,1497,1472,1451,1530,1468,1512,1430,1467,1433,1477
2019-06-25,1591,1535,1533,1651,1503,1455,1538,1449,1497,1472,1451,1530,1468,1512,1430,1467,1433,1477
2019-06-26,1591,1535,1533,1651,1503,1455,1538,1449,1497,1472,1451,1530,1468,1512,1430,1467,1433,1477
2019-06-27,1591,1535,1533,1651,1503,1455,1538,1449,1497,1472,1451,1530,1468,1512,1430,1467,1433,1477
2019-06-28,1591,1535,1533,1651,1503,1455,1538,1449,1497,1472,1451,1530,1468,1512,1430,1467,1433,1477
2019-06-29,1591,1535,1533,1651,1503,1455,1538,1449,1497,1472,1451,1530,1468,1512,1430,1467,1433,1477
2019-06-30,1591,1535,1525,1651,1503,1455,1546,1449,1503,1472,1451,1530,1468,1512,1430,1467,1426,1477
2019-07-01,1589,1525,1525,1655,1505,1465,1546,1458,1503,1480,1447,1520,1460,1518,1423,1459,1426,1486
2019-07-02,1589,1525,1525,1655,1505,1465,1546,1458,1503,1480,1447,1520,1460,1518,1423,1459,1426,1486
2019-07-03,1589,1525,1525,1655,1505,1465,1546,1458,1503,1480,1447,1520,1460,1518,1423,1459,1426,1486
2019-07-04,1589,1525,1525,1655,1505,1465,1546,1458,1503,1480,1447,1520,1460,1518,1423,1459,1426,1486
2019-07-05,1589,1525,1525,1655,1505,1465,1546,1458,1503,1480,1447,1520,1460,1518,1423,1459,1426,1486
2019-07-06,1589,1525,1525,1655,1505,1465,1546,1458,1503,1480,1447,1520,1460,1518,1423,1459,1426,1486
2019-07-07,1594,1532,1533,1655,1506,1458,1546,1458,1503,1472,1442,1520,1468,1518,1423,1459,1426,1479
