,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,kawasaki-frontale,sanfrecce-hiroshima,vegalta-sendai,fc-tokyo,sagan-tosu,gamba-osaka,vissel-kobe,consadole-sapporo,shimizu-s-pulse,cerezo-osaka,shonan-bellmare,nagoya-grampus-eight,oita-trinita,kashiwa-reysol,yokohama-fc,tokushima-vortis,avispa-fukuoka
2021-02-26,1594,1478,1532,1686,1517,1419,1547,1455,1570,1448,1474,1413,1559,1400,1522,1479,1483,1413,1400,1400
2021-02-27,1594,1478,1528,1691,1517,1419,1547,1455,1570,1448,1474,1413,1559,1400,1522,1479,1483,1413,1400,1400
2021-02-28,1582,1479,1528,1691,1515,1421,1545,1462,1559,1459,1481,1425,1566,1393,1522,1477,1477,1406,1401,1400
2021-03-01,1582,1479,1528,1691,1515,1421,1545,1462,1559,1459,1481,1425,1566,1393,1528,1477,1477,1406,1401,1394
2021-03-02,1582,1479,1528,1691,1515,1421,1545,1462,1559,1459,1481,1425,1566,1393,1528,1477,1477,1406,1401,1394
2021-03-03,1582,1479,1528,1691,1515,1421,1545,1462,1559,1459,1481,1425,1566,1393,1528,1477,1477,1406,1401,1394
2021-03-04,1582,1479,1528,1696,1515,1421,1545,1462,1559,1459,1481,1425,1561,1393,1528,1477,1477,1406,1401,1394
2021-03-05,1582,1479,1528,1696,1515,1421,1545,1462,1559,1459,1481,1425,1561,1393,1528,1477,1477,1406,1401,1394
2021-03-06,1582,1479,1528,1696,1515,1421,1545,1462,1559,1459,1481,1425,1561,1393,1528,1477,1477,1406,1401,1394
2021-03-07,1582,1471,1528,1699,1515,1418,1553,1470,1559,1458,1474,1424,1552,1387,1534,1484,1483,1400,1403,1395
2021-03-08,1582,1471,1527,1699,1515,1418,1553,1470,1559,1458,1474,1424,1552,1387,1534,1484,1483,1400,1403,1395
2021-03-09,1582,1471,1527,1699,1515,1418,1553,1470,1559,1458,1474,1424,1552,1387,1534,1484,1483,1400,1403,1395
2021-03-10,1582,1471,1527,1699,1515,1418,1553,1470,1559,1458,1474,1424,1552,1387,1534,1484,1483,1400,1403,1395
2021-03-11,1586,1477,1532,1701,1523,1412,1543,1477,1559,1468,1467,1419,1557,1383,1541,1484,1476,1394,1400,1390
2021-03-12,1586,1477,1532,1701,1523,1412,1543,1477,1559,1468,1467,1419,1557,1383,1541,1484,1476,1394,1400,1390
2021-03-13,1586,1477,1532,1701,1523,1412,1543,1477,1559,1468,1467,1419,1557,1383,1541,1484,1476,1394,1400,1390
2021-03-14,1585,1477,1532,1704,1524,1403,1543,1477,1559,1462,1467,1419,1562,1392,1548,1484,1473,1389,1392,1398
2021-03-15,1585,1471,1539,1704,1524,1403,1542,1476,1559,1462,1467,1420,1562,1392,1548,1485,1473,1389,1392,1398
