,HomeShots,HomeShotsOnTarget,HomeShotsFromPK,HomePasses,HomeCrosses,HomeDirectFK,HomeIndirectFK,HomeCK,HomeThrowin,HomeDribbling,HomeTackles,HomeClearances,HomeIntercepts,HomeOffsides,HomeYellowCards,HomeRedCards,Home30mLineEntries,HomePenaltyAreaEntries,HomeAttacks,HomeChanceBuildingRate,HomePossession,AwayShots,AwayShotsOnTarget,AwayShotsFromPK,AwayPasses,AwayCrosses,AwayDirectFK,AwayIndirectFK,AwayCK,AwayThrowin,AwayDribbling,AwayTackles,AwayClearances,AwayIntercepts,AwayOffsides,AwayYellowCards,AwayRedCards,Away30mLineEntries,AwayPenaltyAreaEntries,AwayAttacks,AwayChanceBuildingRate,AwayPossession
12011413,8.0,3.0,0.0,284.0,6.0,14.0,2.0,4.0,23.0,14.0,23.0,23.0,1.0,4.0,1.0,0.0,24.0,11.0,136.0,5.9,42.0,15.0,4.0,0.0,547.0,16.0,16.0,4.0,5.0,19.0,15.0,25.0,17.0,1.0,2.0,0.0,0.0,59.0,10.0,135.0,11.1,58.0
12015401,13.0,3.0,0.0,424.0,16.0,9.0,7.0,2.0,13.0,13.0,18.0,42.0,8.0,3.0,2.0,0.0,35.0,12.0,118.0,11.0,47.9,9.0,3.0,0.0,509.0,20.0,15.0,3.0,5.0,35.0,12.0,21.0,18.0,2.0,7.0,3.0,0.0,43.0,15.0,146.0,6.2,52.1
12010807,7.0,2.0,1.0,311.0,5.0,17.0,3.0,1.0,21.0,8.0,26.0,32.0,3.0,2.0,2.0,0.0,31.0,8.0,129.0,5.4,43.6,9.0,2.0,0.0,461.0,18.0,12.0,2.0,5.0,29.0,12.0,27.0,9.0,5.0,1.0,3.0,0.0,55.0,8.0,129.0,7.0,56.4
12010918,18.0,9.0,0.0,502.0,24.0,24.0,2.0,7.0,30.0,8.0,20.0,17.0,0.0,6.0,2.0,0.0,57.0,20.0,162.0,11.1,52.8,14.0,8.0,0.0,353.0,16.0,14.0,6.0,5.0,14.0,16.0,34.0,35.0,7.0,2.0,4.0,0.0,32.0,13.0,145.0,9.7,47.2
12013320,16.0,6.0,0.0,264.0,12.0,14.0,5.0,6.0,15.0,14.0,29.0,29.0,4.0,3.0,4.0,0.0,28.0,16.0,133.0,12.0,39.4,16.0,6.0,0.0,506.0,13.0,20.0,3.0,8.0,14.0,21.0,21.0,35.0,2.0,4.0,2.0,0.0,48.0,11.0,139.0,11.5,60.6
12011003,17.0,6.0,0.0,487.0,14.0,11.0,4.0,7.0,16.0,16.0,24.0,20.0,3.0,2.0,2.0,0.0,44.0,13.0,128.0,13.3,49.1,7.0,2.0,0.0,543.0,11.0,16.0,2.0,7.0,24.0,13.0,28.0,11.0,1.0,3.0,1.0,0.0,42.0,14.0,128.0,5.5,50.9
12012178,21.0,7.0,0.0,380.0,6.0,17.0,2.0,4.0,14.0,22.0,26.0,48.0,3.0,1.0,0.0,0.0,29.0,10.0,126.0,16.7,46.0,14.0,2.0,0.0,488.0,23.0,16.0,2.0,5.0,19.0,16.0,20.0,19.0,4.0,2.0,2.0,0.0,36.0,16.0,127.0,11.0,54.0
12012722,14.0,5.0,0.0,497.0,20.0,16.0,7.0,1.0,27.0,21.0,17.0,21.0,3.0,7.0,0.0,0.0,32.0,13.0,149.0,9.4,50.1,17.0,6.0,0.0,563.0,12.0,17.0,7.0,5.0,17.0,12.0,23.0,18.0,3.0,7.0,0.0,0.0,58.0,16.0,148.0,11.5,49.9
12011105,21.0,9.0,0.0,493.0,16.0,7.0,3.0,5.0,20.0,8.0,26.0,42.0,0.0,3.0,2.0,0.0,45.0,16.0,149.0,14.1,53.7,14.0,8.0,0.0,409.0,17.0,17.0,4.0,2.0,24.0,14.0,21.0,28.0,2.0,1.0,2.0,0.0,44.0,19.0,154.0,9.1,46.3
12020554,13.0,2.0,0.0,489.0,19.0,14.0,5.0,5.0,39.0,15.0,27.0,28.0,0.0,8.0,2.0,0.0,41.0,16.0,155.0,8.4,57.6,12.0,7.0,1.0,298.0,6.0,13.0,8.0,5.0,24.0,11.0,22.0,37.0,0.0,5.0,2.0,0.0,23.0,7.0,141.0,8.5,42.4
