,No,Group,Date,Winning,Match1,Match1,Match1,Match2,Match2,Match2,Match3,Match3,Match3,Match4,Match4,Match4,Match5,Match5,Match5
,,,,,Home,Away,W/L,Home,Away,W/L,Home,Away,W/L,Home,Away,W/L,Home,Away,W/L
1245_A,1245,A,2021年6月22日(火),"21,340円",福岡,神戸,2,横浜Ｃ,Ｆ東京,2,広島,柏,1,鹿島,仙台,0,浦和,湘南,2
1245_B,1245,B,2021年6月22日(火),"1,590円",札幌,大分,1,栃木,長崎,2,松本,大宮,0,水戸,山形,2,群馬,町田,2
1246_A,1246,A,2021年6月29日(火),"1,970円",長崎,磐田,2,横浜Ｃ,清水,0,徳島,横浜Ｍ,2,鹿島,札幌,1,Ｆ東京,大分,1
1246_B,1246,B,2021年6月29日(火),"13,590円",浦和,福岡,1,湘南,柏,2,秋田,相模原,0,新潟,水戸,0,東京Ｖ,栃木,1
1247_A,1247,A,2021年7月6日(火),"13,800円",松本,東京Ｖ,1,神戸,湘南,1,柏,横浜Ｍ,2,広島,鳥栖,0,仙台,浦和,0
1247_B,1247,B,2021年7月6日(火),"5,760円",札幌,徳島,1,清水,大分,1,水戸,山口,0,愛媛,秋田,2,栃木,町田,0
1248_A,1248,A,2021年7月13日(火),"34,790円",横浜Ｍ,福岡,1,大分,浦和,1,広島,横浜Ｃ,2,徳島,清水,0,湘南,Ｆ東京,2
1248_B,1248,B,2021年7月13日(火),"10,790円",仙台,札幌,0,柏,鹿島,1,群馬,東京Ｖ,0,北九州,京都,2,甲府,愛媛,1
1249_A,1249,A,2021年7月20日(火),"5,800円",清水,川崎,2,福岡,Ｇ大阪,2,Ｃ大阪,神戸,0,鳥栖,名古屋,1,千葉,金沢,1
1249_B,1249,B,2021年7月20日(火),"8,130円",栃木,甲府,2,磐田,山形,2,町田,相模原,1,愛媛,東京Ｖ,0,松本,水戸,2
