,,Date,Winning,Match1,Match1,Match1,Match1,Match2,Match2,Match2,Match2,Match3,Match3,Match3,Match3,Match4,Match4,Match4,Match4,Match5,Match5,Match5,Match5
,,,,MatchID,Home,Away,W/L,MatchID,Home,Away,W/L,MatchID,Home,Away,W/L,MatchID,Home,Away,W/L,MatchID,Home,Away,W/L
No,Group,,,,,,,,,,,,,,,,,,,,,,
609,A,2013-03-05,19477,13015428,vegalta-sendai,ventforet-kofu,0,13010512,yokohama-fa-marinos,shonan-bellmare,1,13010813,nagoya-grampus-eight,jubilo-iwata,0,13011003,sanfrecce-hiroshima,urawa-red-diamonds,2,13013301,sagan-tosu,kashima-antlers,0
610,A,2013-03-12,3303,13027810,albirex-niigata,sanfrecce-hiroshima,2,13020154,kashima-antlers,vegalta-sendai,1,13022211,fc-tokyo,kashiwa-reysol,1,13022820,ventforet-kofu,cerezo-osaka,2,13020705,shimizu-s-pulse,yokohama-fa-marinos,2
611,A,2013-03-19,6751,13035411,vegalta-sendai,kashiwa-reysol,1,13030513,yokohama-fa-marinos,jubilo-iwata,1,13033321,sagan-tosu,kawasaki-frontale,1,13032778,omiya-ardija,albirex-niigata,0,13032022,cerezo-osaka,fc-tokyo,1
612,A,2013-03-22,30068,13270728,shimizu-s-pulse,ventforet-kofu,0,13127831,albirex-niigata,oita-trinita,0,13232233,fc-tokyo,sagan-tosu,0,13332713,omiya-ardija,jubilo-iwata,2,13220820,nagoya-grampus-eight,cerezo-osaka,0
613,A,2013-03-26,7199,13301307,jubilo-iwata,shimizu-s-pulse,1,13283120,oita-trinita,cerezo-osaka,2,13341227,shonan-bellmare,omiya-ardija,2,13130122,kashima-antlers,fc-tokyo,2,13243308,sagan-tosu,nagoya-grampus-eight,2
614,A,2013-04-02,9684,13040710,shimizu-s-pulse,sanfrecce-hiroshima,2,13042054,cerezo-osaka,vegalta-sendai,0,13042701,omiya-ardija,kashima-antlers,1,13042128,kawasaki-frontale,ventforet-kofu,0,13040812,nagoya-grampus-eight,shonan-bellmare,1
615,A,2013-04-05,16769,13292113,kawasaki-frontale,jubilo-iwata,1,13162812,ventforet-kofu,shonan-bellmare,2,13320133,kashima-antlers,sagan-tosu,1,13072208,fc-tokyo,nagoya-grampus-eight,0,13187820,albirex-niigata,cerezo-osaka,1
616,A,2013-04-09,53083,13055478,vegalta-sendai,albirex-niigata,2,13051005,sanfrecce-hiroshima,yokohama-fa-marinos,2,13053128,oita-trinita,ventforet-kofu,2,13051108,kashiwa-reysol,nagoya-grampus-eight,0,13051221,shonan-bellmare,kawasaki-frontale,0
